SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
000922,*ST佳电,0.02,0.31,2673892436.46,-9.37413769,20.6029,11058207.56,-94.2195143,-500.331,2.64879682,11.52,0.26488145,16.19483774,10派0.33,0.519685039370079,2018-01-11T00:00:00,2013-12-31T00:00:00,8,10001185
000691,亚太实业,0.0081,0.0082,32384477.0,-13.08333404,52.3834,-4987065.91,-64.57739715,-2188.6088,0.11990066,-5.06,0.00680572,17.87781377,不分配不转增,-,2017-11-25T00:00:00,2013-12-31T00:00:00,2,10001010
300738,奥飞数据,-,-,36761309.34,-,-,-331591.85,-,-,-0.87328432,46.87,1.80753229,9.29279678,,-,2017-09-21T00:00:00,2013-12-31T00:00:00,3,80422667
600165,新日恒力,0.028,-0.086,1763903207.65,-4.22967489,-92.3598,7612001.8,-73.81665491,9.0675,3.75745291,0.739,0.02187686,11.77968764,不分配不转增,-,2017-07-13T00:00:00,2013-12-31T00:00:00,1,10000128
601155,新城控股,-,-,20736461343.71,18.85950482,-,1204391794.9,24.48991964,-,10.0981585,22.42,-1.98667617,28.46199139,,-,2017-04-11T00:00:00,2013-12-31T00:00:00,1,80006486
603890,春秋电子,-,-,964846965.28,-,-,35272854.43,-,-,1.52478005,30.12,0.3783111,12.47929129,,-,2017-03-31T00:00:00,2013-12-31T00:00:00,1,80631822
300633,开立医疗,-,-,592242346.81,22.30157082,-,70649079.97,-45.63005169,-,7.30163313,20.87,1.79889204,60.89996656,,-,2017-03-16T00:00:00,2013-12-31T00:00:00,3,80463383
300631,久吾高科,1.4239,1.117,272809463.52,34.87207342,-,68404676.12,23.82921681,-,5.28701097,30.79,1.1364122,48.98990751,,-,2017-03-09T00:00:00,2013-12-31T00:00:00,3,80017945
603517,绝味食品,0.54,0.52,2270094050.57,15.27100758,-,192815294.54,26.99633341,-,4.37361693,27.25,1.06688787,27.54337141,,-,2017-02-27T00:00:00,2013-12-31T00:00:00,1,80392197
601519,*ST智慧,-,-0.015,785623928.13,67.10480691,14.4306,-117933241.22,56.83340781,256.3724,1.53934079,0.4,-0.04266741,77.56921569,10转1,-,2017-02-17T00:00:00,2013-12-31T00:00:00,1,80134304
603178,圣龙股份,0.3,0.28,700275629.02,11.90612487,-,42647881.08,8.31015342,-,1.86803734,22.94,0.47363382,23.2929974,,-,2017-02-14T00:00:00,2013-12-31T00:00:00,1,80426000
603955,大千生态,0.8751,0.8688,502718238.87,-14.43866926,-,45678173.68,-39.68701274,-,7.3064623,12.74,-2.43193835,27.56023456,,-,2017-02-06T00:00:00,2013-12-31T00:00:00,1,80202111
300722,新余国科,-,-,102738778.99,-,-,17752816.04,-,-,2.64299773,23.55,0.34750427,44.65862692,,-,2017-02-03T00:00:00,2013-12-31T00:00:00,3,80622218
300611,美力科技,0.54,0.45,189479552.33,28.68257092,-,27398747.74,63.97893157,-,2.84329499,20.78,0.4788512,40.13776938,,-,2017-01-25T00:00:00,2013-12-31T00:00:00,3,80383174
300612,宣亚国际,0.28,0.24,267001921.29,-11.32927379,-,12534343.35,50.12088568,-,2.00534328,15.02,0.55886414,48.50662635,,-,2017-01-25T00:00:00,2013-12-31T00:00:00,3,80436730
603603,博天环境,0.33,0.32,933900093.35,65.87227645,-,83511891.65,91.76839135,-,1.83819009,28.89,0.27965637,26.42274961,,-,2017-01-23T00:00:00,2013-12-31T00:00:00,1,80372754
300735,光弘科技,-,-,655251200.0,-,-,37499000.0,-,-,1.71095556,-,0.9379919,19.76358075,,-,2017-01-20T00:00:00,2013-12-31T00:00:00,3,80620855
300608,思特奇,0.9,0.9,550833897.32,12.81704788,-,39216712.07,162.63387541,-,4.60663554,21.57,1.91066926,39.21952337,,-,2017-01-20T00:00:00,2013-12-31T00:00:00,3,80326071
603180,金牌厨柜,0.59,0.45,561492603.14,40.19257624,-,30759908.2,33.87157574,-,2.54905659,22.77,2.0030422,45.51674521,,-,2017-01-20T00:00:00,2013-12-31T00:00:00,1,80278872
002875,安奈儿,0.75,0.74,706177440.96,27.59799155,-,56115145.76,42.27795802,-,2.00703065,36.8,0.26543666,56.66570958,,-,2017-01-20T00:00:00,2013-12-31T00:00:00,4,80426004
603078,江化微,0.44,0.79,264792089.85,-5.89972736,-,19287197.89,-23.63527534,-,5.2138118,7.69,1.68694672,39.91112958,,-,2017-01-20T00:00:00,2013-12-31T00:00:00,1,80426002
300695,兆丰股份,1.04,0.88,277903062.25,0.56457402,-,51752640.87,48.24682361,-,7.13641327,15.64,1.78519177,40.63348215,,-,2017-01-18T00:00:00,2013-12-31T00:00:00,3,80189247
300635,达安股份,0.76,0.76,320557113.72,26.17526139,-,42874708.11,32.50062381,-,2.94111141,28.4,-0.4390666,32.418593,,-,2017-01-18T00:00:00,2013-12-31T00:00:00,3,80463374
300733,西菱动力,0.35,0.32,372141593.02,-,-,42182433.14,-,-,2.80104588,13.39,0.30902761,29.42162909,,-,2017-01-13T00:00:00,2013-12-31T00:00:00,3,80619318
603920,世运电路,0.41,0.41,1171457211.73,7.13620142,-,127495309.28,21.03050854,-,1.96502863,22.4,0.63912588,26.52661881,,-,2017-01-13T00:00:00,2013-12-31T00:00:00,1,80425998
002774,快意电梯,0.3425,0.3125,757160000.0,26.49648215,-,80702400.0,25.79715928,-,2.19406974,27.68,1.14777566,31.93284114,,-,2017-01-13T00:00:00,2013-12-31T00:00:00,4,80425995
603385,惠达卫浴,0.45,0.45,1856187270.5,4.67028785,-,93572790.77,-18.10752647,-,8.47664144,5.42,0.85234265,24.93174532,,-,2017-01-13T00:00:00,2013-12-31T00:00:00,1,80425993
603626,科森科技,-,-,262351116.79,96.19475735,-,42635005.45,291.72508307,-,2.02209431,34.08,0.56981905,41.63358797,,-,2017-01-13T00:00:00,2013-12-31T00:00:00,1,80398460
300601,康泰生物,0.004,-0.02,250513321.34,104.50228476,-,1510573.0,-86.80487444,-,1.04248286,5.27,0.07390661,68.89558965,,-,2017-01-12T00:00:00,2013-12-31T00:00:00,3,80313152
300578,会畅通讯,0.69,0.64,231185569.54,11.21443912,-,37100404.47,1.43789927,-,2.26265713,33.14,0.67606697,41.34920278,,-,2017-01-12T00:00:00,2013-12-31T00:00:00,3,80204965
