,SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
0,000691,亚太实业,0.0305,-0.0226,9714600.0,-,-,4222283.79,-30.87730431,980.3042,0.41842278,6.6,-0.10796065,-,不分配不转增,-,2017-11-25T00:00:00,2010-12-31T00:00:00,2,10001010
1,000565,渝三峡A,0.2,-0.85,436396626.58,11.34399438,7.2177,35281183.09,-82.68346671,341.7118,3.99103408,5.26,-0.16259569,24.01729531,10派1,0.628535512256443,2016-03-29T00:00:00,2010-12-31T00:00:00,2,10000907
2,603056,德邦股份,0.9,-,2596467464.44,162.16500157,-,123001496.35,82.15817894,-,5.02431061,-,1.06980837,22.84610525,,-,2015-07-03T00:00:00,2010-12-31T00:00:00,1,80279273
3,603223,恒通股份,-,-,577452095.16,66.4972425,-,42388970.47,84.14063223,-,12.04482774,48.23,2.66679439,20.06393372,,-,2015-06-10T00:00:00,2010-12-31T00:00:00,1,80312072
4,300167,迪威迅,1.19,0.79,190802030.67,31.99003796,50.0078,27274529.46,-7.4893055,-72.497,4.98,27.06,0.14413095,48.00898469,10转5派2,0.727272727272727,2015-05-22T00:00:00,2010-12-31T00:00:00,3,80054761
5,601108,财通证券,-,-,1741088481.05,3.70033535,-,487248823.98,-17.52960161,-,3.0918497,-,1.18777289,-,,-,2014-12-16T00:00:00,2010-12-31T00:00:00,1,80048595
6,601375,中原证券,0.25,-,1345669695.34,-27.62381276,-,513524365.47,-40.69152454,-,1.99632544,-,-0.29866327,-,,-,2014-12-05T00:00:00,2010-12-31T00:00:00,1,80000218
8,600025,华能水电,-,-,7901906113.41,90.01370373,-27.7185,1760150823.97,211.92525935,-77.7791,4.04085892,-,1.22901825,47.18978415,,-,2014-09-11T00:00:00,2010-12-31T00:00:00,1,80075711
9,601228,广州港,0.08,-,3975033871.71,-,-,422712176.46,-,-,1.04988777,-,0.22478415,42.42256,,-,2014-07-16T00:00:00,2010-12-31T00:00:00,1,80179506
10,600782,新钢股份,0.26,0.13,35212557743.57,61.20027936,11.4442,366076727.87,103.05513563,160.158,6.11656211,4.37,-0.46884701,5.90829859,10派0.6,0.841514726507714,2014-07-11T00:00:00,2010-12-31T00:00:00,1,10000731
11,603026,石大胜华,0.64,-,2847242921.45,-,-,89658997.9,-,-,3.85643366,-,0.14694644,7.27116555,,-,2014-04-28T00:00:00,2010-12-31T00:00:00,1,80198469
12,300086,康芝药业,0.7776,0.7758,314451808.57,43.730289,10.4981,139317546.85,42.77680307,11.8631,18.29,12.06,0.79893973,67.77395784,10转10派3,1.08459869848156,2014-04-15T00:00:00,2010-12-31T00:00:00,3,80143575
17,300498,温氏股份,-,-,21823071492.08,30.5135732,16.9187,1920152777.03,120.97841831,-17.8101,2.35957458,-,0.86260951,15.3999165,,-,2014-01-28T00:00:00,2010-12-31T00:00:00,3,80060671
20,603288,海天味业,1.28,1.25,5515507551.31,23.0346147,-,660266581.85,-6.56718599,-,4.92,29.0,1.47932001,32.98640888,,-,2014-01-15T00:00:00,2010-12-31T00:00:00,1,80064560
21,600909,华安证券,0.23,-,1250787848.28,-19.97416735,-,550844903.54,-31.76895162,-,1.47691851,-,-0.52123533,-,,-,2014-01-13T00:00:00,2010-12-31T00:00:00,1,80000064
22,002926,华西证券,-,-,2253215017.64,-11.55818208,-,1006927027.7,-1.89939427,-,4.17151228,-,-1.31175597,-,,-,2014-01-10T00:00:00,2010-12-31T00:00:00,4,80000048
23,300383,光环新网,0.79,0.75,133645663.91,24.79916509,-,32317971.61,44.74025322,-,3.52,29.38,0.75977147,54.87307878,,-,2014-01-10T00:00:00,2010-12-31T00:00:00,3,80198783
25,002718,友邦吊顶,1.24,1.19,200187868.29,49.44441407,-,55877293.03,107.15020383,-,2.36,72.52,1.30408546,52.5903151,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198732
26,002721,金一文化,0.32,0.43,2232693202.95,129.45512365,-,45455024.92,160.80733819,-,2.48,28.85,-1.37729058,11.65153688,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198918
27,002725,跃岭股份,0.85,0.99,697588587.25,45.98347484,-,51078225.44,19.73139751,-,2.58516471,35.0,0.66820741,19.33398274,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198907
28,300380,安硕信息,0.0,-,106007568.01,66.64916773,-,35356185.25,121.49281569,-,10.91530876,56.04,1.30689148,66.63018984,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80198764
29,603005,晶方科技,0.5,0.47,270679985.18,94.9458585,-,90742369.33,78.25056049,-,2.29,24.23,0.64073163,52.80751727,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,1,80198909
30,002719,麦趣尔,0.59,0.57,313799302.78,3.27483866,-,44044790.54,11.19337602,-,1.75,33.8,0.41809599,38.75328123,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198781
31,002722,金轮股份,0.4,0.41,349745787.97,19.73791345,-,41830992.58,110.66646095,-,2.21,20.12,0.49761183,41.19944471,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198766
32,300379,东方通,0.65,0.31,78481813.94,51.41266287,-,29307557.85,83.91013702,-,2.09,36.89,0.4025927,94.4927019,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80198451
33,002714,牧原股份,0.43,0.35,444517659.15,3.68595547,-,85609479.57,-9.26847516,-,1.92046276,27.27,0.42365554,21.9080258,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198868
34,300381,溢多利,0.723,0.68,216863387.25,20.56603525,-,28184233.47,15.10280378,-,3.7,21.48,0.90628399,52.15877647,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80173987
35,002723,金莱特,0.7452,0.713,453194088.1,64.51578817,-,44877306.59,49.84884019,-,2.75,33.7,0.32030513,19.34063317,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,4,80198553
36,300382,斯莱克,0.8,0.74,87099076.01,12.90862556,-,36667640.2,37.2979074,-,1.88,53.93,0.47180979,59.97600032,,-,2014-01-09T00:00:00,2010-12-31T00:00:00,3,80198867
37,002716,金贵银业,0.77,0.82,1569126357.15,94.94697288,-,127665930.54,103.52203904,-,3.03,30.03,-0.80043981,17.71623058,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,4,80198882
38,601225,陕西煤业,0.61,0.62,31737455934.84,81.17027635,-,5469545636.24,149.2735209,-,2.36,27.14,1.27172696,47.11420747,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,1,80139859
39,603688,石英股份,0.65,0.78,343088935.68,116.18417197,-,90316482.3,170.23345849,-,2.82040156,28.65,1.00315258,56.08819631,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,1,80198762
40,002715,登云股份,0.49,0.47,272202983.06,44.64410776,-,34074465.31,45.68396314,-,2.84,18.78,0.6718579,37.52857359,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,4,80198667
41,300378,鼎捷软件,0.57,0.57,719106446.64,26.94387337,-,50372466.74,32.76468396,-,4.04528118,21.52,1.23087107,78.86906542,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,3,80168755
42,002717,岭南园林,0.87,0.87,492411479.0,57.20809643,-,61228120.9,73.0721717,-,2.32,44.56,0.13349079,30.21282103,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,4,80180099
43,300377,赢时胜,0.7,0.69,101609541.03,44.27975665,-,31537773.93,22.84726511,-,1.94,44.24,0.41850395,84.18774046,,-,2014-01-08T00:00:00,2010-12-31T00:00:00,3,80198507
44,300375,鹏翎股份,0.92,0.89,576186483.5,44.30270373,-,63952556.18,16.1514751,-,4.29,24.05,0.97087321,26.64063127,,-,2014-01-07T00:00:00,2010-12-31T00:00:00,3,80169462
45,300376,易事特,1.08,1.13,600922737.64,27.14411667,-,83232634.38,-46.49169566,-,4.56,25.35,1.09175707,35.77394765,,-,2014-01-07T00:00:00,2010-12-31T00:00:00,3,80083683
46,002713,东易日盛,0.39,0.48,1087896241.85,22.08758653,-,39168845.42,10.71632781,-,2.56537172,16.19,1.00179975,35.78359196,,-,2014-01-07T00:00:00,2010-12-31T00:00:00,4,80198530
47,603555,贵人鸟,0.0,-,1534995511.42,153.78890435,-,222384224.34,180.47634597,-,5.6603408,76.1,1.52314775,31.81903951,,-,2014-01-07T00:00:00,2010-12-31T00:00:00,1,80198570
49,300373,扬杰科技,0.73,0.65,356255604.87,86.9803145,-,45288282.78,225.29304338,-,3.07,60.02,1.10902581,24.93611084,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,3,80095983
50,300371,汇中股份,0.95,0.94,101151289.9,113.94365889,-,36139817.22,76.49925069,-,1.93,62.34,0.53828074,61.51152156,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,3,80194511
51,002712,思美传媒,0.96,0.95,1056628649.89,32.05866432,-,70233563.83,70.90492292,-,3.61598378,29.76,1.28103886,13.62993853,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,4,80198675
52,300369,绿盟科技,0.88,0.87,296495545.96,30.40085359,-,65744874.79,72.96842271,-,2.28,54.38,2.56002886,79.37522103,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,3,80198581
53,300367,东方网力,0.7,0.66,117287995.01,76.04716192,-,35818010.33,57.96960962,-,2.49,36.81,0.54734581,60.6071755,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,3,80127964
54,002711,欧浦智网,0.63,0.61,309337208.58,22.81657041,-,74054507.43,78.0414218,-,2.44,29.52,1.02645688,39.96222293,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,4,80198377
55,300366,创意信息,0.49,0.46,179744788.3,21.57148201,-,24735579.26,14.38931312,-,2.17,25.71,0.5766703,27.78087493,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,3,80171552
56,300368,汇金股份,0.79,0.75,128851539.9,69.27516522,-,33081089.85,21.45833776,-,3.13434885,28.83,0.79236015,55.59265204,,-,2014-01-06T00:00:00,2010-12-31T00:00:00,3,80198919
57,300365,恒华科技,0.8,0.79,98886820.48,126.30620924,-,30107381.39,231.32496833,-,2.13,46.68,0.3314979,48.6494167,,-,2014-01-03T00:00:00,2010-12-31T00:00:00,3,80198455
58,603308,应流股份,0.0,-,876041448.45,60.37976802,-,95055387.82,53.46931211,-,1.68831608,16.2,0.28026019,31.0852824,,-,2014-01-03T00:00:00,2010-12-31T00:00:00,1,80198899
59,300363,博腾股份,0.54,0.51,455834356.61,57.98124012,-,43049632.88,42.38783948,-,1.81,30.99,0.3932445,30.17202113,,-,2014-01-03T00:00:00,2010-12-31T00:00:00,3,80198692
60,002708,光洋股份,0.0,-,562472689.3,47.87741819,-,57533038.01,39.89963444,-,5.43833152,23.92,-0.23527071,32.13247931,,-,2014-01-03T00:00:00,2010-12-31T00:00:00,4,80198801
61,002709,天赐材料,0.45,0.36,364515072.59,10.84939988,35.0221,38846639.1,9.85226584,368.0701,3.77194728,13.69,0.07309364,30.38982357,,-,2014-01-03T00:00:00,2010-12-31T00:00:00,4,80145784
62,002706,良信电器,0.97,0.86,405753213.91,26.23385642,-,62555080.3,454.34580893,-,2.79,42.04,0.732091,40.00596834,,-,2014-01-02T00:00:00,2010-12-31T00:00:00,4,80167407
63,300362,天翔环境,0.3725,0.3251,266125691.41,38.74841631,-,28691148.02,33.25018969,-,3.05870242,12.97,0.0516448,32.88376896,,-,2014-01-02T00:00:00,2010-12-31T00:00:00,3,80180419
64,300360,炬华科技,0.49,0.48,286884142.8,27.43835834,-,33216421.93,11.44176593,-,2.07348252,26.93,0.62839134,26.97875305,,-,2014-01-02T00:00:00,2010-12-31T00:00:00,3,80198884
65,002707,众信旅游,0.659,0.656,1035048918.67,33.49480283,-,30506884.88,93.49633474,-,4.21,38.89,0.76260811,9.36514384,,-,2014-01-02T00:00:00,2010-12-31T00:00:00,4,80198508
66,002705,新宝股份,0.4598,0.453,4462548689.94,30.92124909,-,168293067.51,10.25408776,-,2.59,18.51,0.6027741,16.52049753,,-,2013-12-31T00:00:00,2010-12-31T00:00:00,4,80094962
67,603699,纽威股份,0.15,0.12,1104510349.28,-27.7293643,-,105754920.94,-63.56853828,-,1.27,12.19,-0.04026895,37.26823108,,-,2013-12-31T00:00:00,2010-12-31T00:00:00,1,80198752
68,300358,楚天科技,0.86,0.82,355269864.19,83.21235503,-,53175015.75,135.01457943,-,2.52,57.47,0.50365779,43.8127826,,-,2013-12-31T00:00:00,2010-12-31T00:00:00,3,80192711
69,300357,我武生物,0.0,-,59327652.09,58.59972413,-,18405879.37,75.0740988,-,1.04,15.2,0.16719087,90.41034015,,-,2013-12-31T00:00:00,2010-12-31T00:00:00,3,80198452
70,300359,全通教育,0.62,0.59,100266349.58,59.02644928,-,27488892.28,102.64794634,-,1.24,60.94,0.39455533,54.91580447,,-,2013-12-31T00:00:00,2010-12-31T00:00:00,3,80198673
72,601878,浙商证券,-,-,1698518541.73,-1.29560545,-,618531783.04,0.26727709,-,1.79830649,-,-0.04493114,-,,-,2013-10-18T00:00:00,2010-12-31T00:00:00,1,80000206
73,600958,东方证券,0.4,-,3090478809.62,-18.91559964,-,1315286396.52,-31.30275796,-,3.10131991,-,-0.41160002,-,,-,2013-10-15T00:00:00,2010-12-31T00:00:00,1,80000091
74,600023,浙能电力,-,-,36335062301.01,-,-,2489609097.77,-,-,7.74231851,-,2.35209027,15.65706887,,-,2013-10-01T00:00:00,2010-12-31T00:00:00,1,80011747
75,603225,新凤鸣,2.76,-,6595886474.33,45.7185478,-,410497692.78,185.2511306,-,7.22160244,-,3.95407187,10.42376997,,-,2013-09-03T00:00:00,2010-12-31T00:00:00,1,80154170
76,601828,美凯龙,-,-,3962290753.16,71.88589604,-,825235281.9,110.42134805,-,1.49701236,-,0.7988652,72.51419636,,-,2013-09-03T00:00:00,2010-12-31T00:00:00,1,80186156
77,601968,宝钢包装,0.14,-,2008451429.69,47.58044917,-,70748016.26,300.52096212,-,1.61883482,-,0.19938717,16.61524533,,-,2013-08-30T00:00:00,2010-12-31T00:00:00,1,80305773
78,601211,国泰君安,-,-,8754945603.0,-29.10184183,-,4031243740.0,-36.02739786,-,5.52881349,-,-1.69599479,-,,-,2013-08-22T00:00:00,2010-12-31T00:00:00,1,80000123
79,002797,第一创业,-,-,996600929.16,-0.06649366,-,348535711.53,-17.27719106,-,1.95149029,-,1.606228,-,,-,2013-08-08T00:00:00,2010-12-31T00:00:00,4,80000083
80,600385,山东金泰,-0.11,-0.1,5784736.44,9.07039116,178.1812,-16489583.84,-901.85160524,-46.7967,-1.76542384,-,0.00062286,53.68100919,不分配不转增,-,2013-08-07T00:00:00,2010-12-31T00:00:00,1,10000308
82,000166,申万宏源,0.44,-,7071149471.69,-12.93449481,-,2926581290.34,-26.26041027,-,2.25576246,-,-3.51863148,-,,-,2013-07-11T00:00:00,2010-12-31T00:00:00,2,80000075
83,603299,井神股份,0.22,0.26,1432168570.25,61.94183734,-,91476225.33,312.89883582,-,3.25183214,9.73,0.71999037,34.26371933,,-,2013-07-11T00:00:00,2010-12-31T00:00:00,1,80185630
92,601881,中国银河,0.46,-,7900246173.14,-19.42082441,-,2777016645.01,-37.98143209,-,2.3944981,-,-1.77573772,-,,-,2013-06-14T00:00:00,2010-12-31T00:00:00,1,80000135
93,600903,贵州燃气,-,-,492928588.76,63.773432,-,-,-,-,1.95578435,-,0.76205671,14.75194995,,-,2013-05-07T00:00:00,2010-12-31T00:00:00,1,80131210
103,300505,川金诺,-,-,229783599.57,28.35808021,-,29040556.54,18.76535024,-,5.68625997,-,1.46384769,38.20730287,,-,2013-04-19T00:00:00,2010-12-31T00:00:00,3,80326324
148,601838,成都银行,0.5,-,3654088000.0,54.12064564,-,1625368000.0,50.01019838,-,2.77229588,-,10.73454411,-,,-,2012-12-08T00:00:00,2010-12-31T00:00:00,1,80044074
161,300567,精测电子,-,-,16238535.91,85.72840102,-,7434334.05,82.85637663,-,3.36937739,-,0.33799318,56.47934192,,-,2012-11-05T00:00:00,2010-12-31T00:00:00,3,80303985
168,601128,常熟银行,0.66,-,1396318533.1,43.19218377,-,566112000.99,17.73834631,-,3.97092649,-,3.89536023,-,,-,2012-10-25T00:00:00,2010-12-31T00:00:00,1,80058613
170,601579,会稽山,0.2,-,743046690.81,16.221013,-,60805691.84,-36.29502623,-,2.37459179,8.92,0.64417729,41.68336148,,-,2012-10-23T00:00:00,2010-12-31T00:00:00,1,80103750
171,603166,福达股份,0.4,0.37,1329393368.3,39.97097324,-,155041925.57,84.58725936,-,0.94,37.18,0.67086308,26.96739601,,-,2012-10-23T00:00:00,2010-12-31T00:00:00,1,80189250
173,603767,中马传动,0.96,-,566334381.71,49.88036885,-,96017209.97,77.95531661,-,3.02014753,-,0.52062882,32.65815493,,-,2012-10-16T00:00:00,2010-12-31T00:00:00,1,80197066
179,603168,莎普爱思,0.88,0.87,272552318.39,56.15871535,-,43095159.19,125.81316424,-,3.1,32.84,0.35847023,59.51886828,,-,2012-09-28T00:00:00,2010-12-31T00:00:00,1,80142153
180,002703,浙江世宝,0.39,0.38,545943926.52,49.46206859,-,103403049.81,55.82833743,-,2.10177988,20.38,0.2541067,35.91023485,,-,2012-09-28T00:00:00,2010-12-31T00:00:00,4,80075918
185,002702,海欣食品,0.93,0.93,513413258.98,18.20889636,-,49245044.6,13.73120288,-,3.83225119,27.43,1.24386749,34.37240952,,-,2012-09-17T00:00:00,2010-12-31T00:00:00,4,80161075
187,002701,奥瑞金,0.0,-,1963158524.0,51.07460668,-,236404702.0,96.16876741,-,3.66323169,31.78,1.50517483,23.45855688,,-,2012-09-12T00:00:00,2010-12-31T00:00:00,4,80198309
188,300356,光一科技,0.71,0.67,128310679.29,15.45101875,-,37664775.24,7.94936363,-,2.94,33.97,0.52213656,50.72579183,,-,2012-09-11T00:00:00,2010-12-31T00:00:00,3,80198429
189,603993,洛阳钼业,0.21,0.03,4496966550.62,43.5442378,-,1020691889.73,106.16090408,-,2.30826784,9.31,0.01242777,41.21143132,,-,2012-09-10T00:00:00,2010-12-31T00:00:00,1,80095442
191,601016,节能风电,0.082,0.074,657747085.0,63.51398132,-,130744038.0,44.37710134,-,1.4424995,5.83,0.27457779,59.25989166,,-,2012-09-06T00:00:00,2010-12-31T00:00:00,1,80153949
192,601326,秦港股份,0.26,0.26,5293890900.0,7.98746104,-,1114991900.0,35.18627167,-,1.68018056,13.86,0.5050837,40.33613915,,-,2012-09-06T00:00:00,2010-12-31T00:00:00,1,80133074
202,002782,可立克,0.5799,0.5632,544110611.17,53.4362987,-,63578618.79,31.55829182,-,1.67,38.55,0.32746787,24.52908666,,-,2012-09-03T00:00:00,2010-12-31T00:00:00,4,80125462
206,603989,艾华集团,0.51,0.84,827981617.31,40.35373562,-,73370247.78,-13.43879458,-,2.48,26.37,0.8821962,29.30058904,,-,2012-08-31T00:00:00,2010-12-31T00:00:00,1,80198778
207,300355,蒙草生态,0.66,0.55,367055964.98,49.42025426,-,65447787.43,99.06350067,-,2.2751,37.66,-0.31036278,32.09203294,,-,2012-08-31T00:00:00,2010-12-31T00:00:00,3,80198574
208,002700,新疆浩源,0.55,0.54,119010323.3,88.77854645,-,30389548.73,68.01056017,-,1.77857296,40.94,1.15095886,50.30625331,,-,2012-08-31T00:00:00,2010-12-31T00:00:00,4,80198819
209,300354,东华测试,0.6856,0.68,72149934.46,65.96122938,-,22057103.37,124.85082153,-,2.18,36.28,0.50793742,69.19447149,,-,2012-08-30T00:00:00,2010-12-31T00:00:00,3,80198746
210,300351,永贵电器,1.13,1.0,208881020.17,70.40712677,-,62087823.37,115.36032603,-,3.1621,57.54,1.09502249,52.04287279,,-,2012-08-28T00:00:00,2010-12-31T00:00:00,3,80198694
211,002748,世龙实业,0.6405,0.7851,737553291.32,24.4963065,-,57647638.31,82.33280015,-,2.53,23.67,1.04928372,22.31688595,,-,2012-08-28T00:00:00,2010-12-31T00:00:00,4,80198745
212,300352,北信源,0.81,0.64,91686470.98,32.84694087,-,40284492.68,78.54780795,-,2.4426617,39.78,0.40704809,95.42240832,,-,2012-08-27T00:00:00,2010-12-31T00:00:00,3,80198777
213,002698,博实股份,0.35,0.34,442583841.74,11.00996345,-,127212670.17,19.77298507,-,1.40700799,28.75,0.12404922,48.70792797,,-,2012-08-24T00:00:00,2010-12-31T00:00:00,4,80168601
214,002699,美盛文化,0.67,0.67,190698119.32,52.72032714,-,46787255.19,109.58412334,-,1.74180631,47.48,0.34571643,48.51225679,,-,2012-08-24T00:00:00,2010-12-31T00:00:00,4,80196444
215,603328,依顿电子,0.7,0.7,2638339122.02,36.93448866,-,280996226.93,-14.4427102,-,3.47,22.59,0.47514201,21.63771774,,-,2012-08-23T00:00:00,2010-12-31T00:00:00,1,80122288
216,002726,龙大肉食,0.67,0.63,2035940102.75,37.71645517,-,107520408.18,26.81214864,-,4.11236806,17.87,1.05492603,10.62300213,,-,2012-08-23T00:00:00,2010-12-31T00:00:00,4,80198760
217,002815,崇达技术,0.85,1.05,782863008.26,79.53590805,-,96116316.26,134.71249405,-,3.1,36.04,1.26987297,37.11574697,,-,2012-08-23T00:00:00,2010-12-31T00:00:00,4,80198741
218,603566,普莱柯,0.0,-,292354213.26,9.72858652,-,83990635.52,-9.45288639,-,3.26465219,28.98,1.18304609,71.33093295,,-,2012-08-23T00:00:00,2010-12-31T00:00:00,1,80198768
219,600917,重庆燃气,0.19,0.15,3706627549.68,20.14460725,-,226804279.47,-17.42084318,-,1.90030437,9.4,0.40751195,16.94939056,,-,2012-08-17T00:00:00,2010-12-31T00:00:00,1,80076724
220,002697,红旗连锁,1.01,0.99,2764715194.9,11.21685785,-,150760742.97,24.90529795,-,3.28294835,40.76,0.67031146,23.8166048,,-,2012-08-17T00:00:00,2010-12-31T00:00:00,4,80154367
221,002696,百洋股份,0.7,0.68,770175015.95,71.26276141,-,46298296.03,23.21849799,-,3.89752001,21.62,0.7406109,14.33488055,,-,2012-08-17T00:00:00,2010-12-31T00:00:00,4,80166589
222,002695,煌上煌,0.7,0.71,694469443.26,34.18158934,-,60611384.42,34.78283321,-,3.14805499,25.07,-0.47590925,22.91432965,,-,2012-08-10T00:00:00,2010-12-31T00:00:00,4,80198440
223,603167,渤海轮渡,0.567,0.49,1042567553.82,38.5508257,-,215697188.08,20.49992465,-,2.42238009,26.51,0.88082781,36.17942335,,-,2012-08-10T00:00:00,2010-12-31T00:00:00,1,80158478
224,600959,江苏有线,0.19,-,2525658955.81,13.56900684,-,426857595.72,11.27998914,-,1.07349521,-,0.2220589,33.2851204,,-,2012-07-31T00:00:00,2010-12-31T00:00:00,1,80116616
225,300350,华鹏飞,0.39,0.38,263215741.6,47.68214255,-,25316476.06,62.29243024,-,1.9582,22.01,0.34750528,24.07516557,,-,2012-07-31T00:00:00,2010-12-31T00:00:00,3,80189110
226,300349,金卡智能,1.26,1.27,150906691.86,52.46925162,-,31377078.76,92.63629265,-,2.36,65.93,1.72369875,46.04173628,,-,2012-07-31T00:00:00,2010-12-31T00:00:00,3,80198474
227,300348,长亮科技,1.05,1.05,113253010.96,28.16112457,-,31044820.39,59.90526395,-,2.8,41.27,0.80799901,60.60249666,,-,2012-07-31T00:00:00,2010-12-31T00:00:00,3,80198310
228,603399,新华龙,0.47,0.43,3028473306.56,76.61591368,-,86268421.42,40.91098568,-,1.95695335,24.24,1.20808653,6.2594952,,-,2012-07-31T00:00:00,2010-12-31T00:00:00,1,80198374
229,300347,泰格医药,0.8,0.75,122844075.69,95.63366658,-,31709272.77,306.47586056,-,2.33,41.82,0.66464384,48.09460911,,-,2012-07-30T00:00:00,2010-12-31T00:00:00,3,80198739
230,002694,顾地科技,0.36,0.67,1022913348.27,32.98120365,-,38870718.79,-13.26182989,-,3.39643427,13.83,0.26244027,18.99970141,,-,2012-07-27T00:00:00,2010-12-31T00:00:00,4,80079204
231,603003,龙宇燃油,0.53,0.47,4570940726.17,22.85126613,-,80211640.38,21.82288477,-,2.65233462,22.43,0.50849836,5.23499446,,-,2012-07-27T00:00:00,2010-12-31T00:00:00,1,80149507
233,002693,双成药业,0.71,0.71,112877153.52,28.00335645,-,64229622.72,100.04820907,-,1.7535405,64.15,0.61477534,74.88387838,,-,2012-07-24T00:00:00,2010-12-31T00:00:00,4,80198522
234,603766,隆鑫通用,0.51,0.5,5638050300.8,23.23220963,-,370328983.78,28.63586733,-,2.58640542,21.71,0.72320671,17.33043922,,-,2012-07-23T00:00:00,2010-12-31T00:00:00,1,80198804
235,603799,华友钴业,0.4,-,2369611743.45,63.06675258,-,157341106.92,64.15238524,-,2.32848534,-,0.27685236,18.79677029,,-,2012-07-20T00:00:00,2010-12-31T00:00:00,1,80126332
236,002831,裕同科技,1.1196,-,1608591136.22,12.47493352,-,167944257.75,34.6766318,-,4.05235801,-,0.51385032,26.62738643,,-,2012-07-20T00:00:00,2010-12-31T00:00:00,4,80304368
237,300346,南大光电,1.489,1.48,117919529.54,310.86385258,-,56119965.32,716.74858338,-,2.65,78.2,2.17532421,75.15002307,,-,2012-07-20T00:00:00,2010-12-31T00:00:00,3,80198537
238,002692,睿康股份,0.65,0.65,1509218495.95,55.39623176,-,87955450.88,80.28297269,-,1.82199189,43.35,1.04286627,13.55860108,,-,2012-07-20T00:00:00,2010-12-31T00:00:00,4,80196785
242,601038,一拖股份,0.6415,0.4827,10265832386.0,9.68156061,-,542669716.0,114.98436372,-,3.7259486,17.79,0.64219685,14.6185151,,-,2012-07-16T00:00:00,2010-12-31T00:00:00,1,80037519
245,603099,长白山,0.13,0.13,115779700.0,-14.66978862,-,26319400.0,-52.69119878,-,1.37,12.81,0.2864975,42.31588094,,-,2012-07-13T00:00:00,2010-12-31T00:00:00,1,80198705
246,603111,康尼机电,0.82,0.74,735839168.75,41.16196766,-,97688293.3,55.14410574,-,2.55226532,46.09,1.22836761,41.4041943,,-,2012-07-13T00:00:00,2010-12-31T00:00:00,1,80198802
247,300345,红宇新材,0.65,0.57,208367089.56,65.36998121,-,46510732.84,50.96648103,-,2.2,25.77,0.02976074,37.51448841,,-,2012-07-13T00:00:00,2010-12-31T00:00:00,3,80168103
248,002691,冀凯股份,0.83,-,259322835.28,31.07044577,-,61910475.54,71.07741425,-,2.2866114,34.59,0.2139481,57.55437817,,-,2012-07-13T00:00:00,2010-12-31T00:00:00,4,80196274
249,600068,葛洲坝,0.396,0.375,36583897580.31,37.52681344,37.1454,1376736142.9,4.05412516,34.4695,2.93176365,14.07,0.17746433,14.16243177,10派1,0.953288846520496,2012-07-13T00:00:00,2010-12-31T00:00:00,1,10000041
250,300343,联创互联,1.08,1.08,339067765.37,58.17461694,-,32530103.16,130.9067225,-,2.61,58.54,0.78838698,14.75138742,,-,2012-07-11T00:00:00,2010-12-31T00:00:00,3,80198520
251,300344,太空板业,0.6755,0.67,255762276.9,16.79416123,-,47630709.03,103.71352383,-,2.83,28.75,0.16463057,43.76159593,,-,2012-07-11T00:00:00,2010-12-31T00:00:00,3,80127961
252,300390,天华超净,0.34,0.34,171011344.62,83.66574443,-,17984374.0,70.97818188,-,2.24,22.56,0.28732869,30.99775757,,-,2012-07-11T00:00:00,2010-12-31T00:00:00,3,80198767
254,603077,和邦生物,0.58,0.52,1432872150.27,69.69664891,-,172798343.2,291.33435357,-,2.78462138,23.38,0.94504592,32.06432245,,-,2012-07-09T00:00:00,2010-12-31T00:00:00,1,80189718
255,002690,美亚光电,0.0,-,334834269.88,1.20894623,-,150396705.42,57.07927741,-,3.00862475,46.07,1.47877278,52.94380146,,-,2012-07-09T00:00:00,2010-12-31T00:00:00,4,80078791
