SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
000691,亚太实业,0.0203,0.0038,-,-,-,6108389.94,103.14366521,964.8923,0.4068,4.31,-0.07431537,-,不分配不转增,-,2017-11-25T00:00:00,2009-12-31T00:00:00,2,10001010
603299,井神股份,0.08,0.11,884372188.03,-,-,22154633.87,-,-,3.05300536,4.05,-0.10993811,32.59402113,,-,2015-12-16T00:00:00,2009-12-31T00:00:00,1,80185630
603223,恒通股份,-,-,346823819.11,-,-,23019889.72,-,-,6.29850668,48.13,0.78861205,18.03378195,,-,2015-06-10T00:00:00,2009-12-31T00:00:00,1,80312072
600909,华安证券,0.34,-,1562980111.45,131.75542639,-,807322936.7,198.64497829,-,1.44871154,-,1.39924643,-,,-,2014-01-13T00:00:00,2009-12-31T00:00:00,1,80000064
002926,华西证券,-,-,2547680577.72,101.97510235,-,1026422844.35,121.75623392,-,3.373708,-,8.93738434,-,,-,2014-01-10T00:00:00,2009-12-31T00:00:00,4,80000048
601878,浙商证券,-,-,1720813495.13,104.31602497,-,616882996.09,48.18775547,-,1.51033524,-,2.73624221,-,,-,2013-10-18T00:00:00,2009-12-31T00:00:00,1,80000206
600872,中炬高新,0.0948,0.0505,959526859.37,-0.72357754,3.3855,68655486.29,-13.91093312,-64.9641,2.24,4.37,0.06216597,27.06033231,10送1派0.15,0.221238938053097,2013-10-17T00:00:00,2009-12-31T00:00:00,1,10000821
601375,中原证券,0.43,-,1859271324.69,286.18554782,-,866545818.76,697.83407709,-,1.7432484,-,2.66584015,-,,-,2013-10-10T00:00:00,2009-12-31T00:00:00,1,80000218
601198,东兴证券,-,-,1347874637.8,55.05479009,-,506244075.88,44.63825824,-,1.72515218,-,4.20535465,-,,-,2013-09-18T00:00:00,2009-12-31T00:00:00,1,80114781
603225,新凤鸣,0.97,-,4526456359.94,-,-,143907472.66,-,-,4.50075743,-,3.29039177,6.03179571,,-,2013-09-03T00:00:00,2009-12-31T00:00:00,1,80154170
