code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002137,麦达数字,元器件,深圳,80.97,4.9,5.76,189519.61,95747.3,5443.5,94094.27,1.63,0.027999999999999997,2.84,3.24,20070613,10059.67,0.17,-9.16,-11.34,22.67,8.85,41196
600285,羚锐制药,中成药,河南,14.78,5.35,5.92,306888.63,151063.05,52570.48,55165.9,0.93,0.58,3.5,3.21,20001018,62652.2,1.06,28.21,222.11,67.64,32.27,36485
002019,亿帆医药,化学制药,浙江,25.48,5.6,11.01,698350.44,241051.92,78182.02,116271.92,1.06,0.64,3.2,5.09,20040713,135301.13,1.23,43.93,95.46,50.55,20.11,46790
603117,万林股份,仓储物流,江苏,65.18,2.35,4.62,452642.81,346886.75,75556.07,118200.55,2.56,0.17,4.78,2.77,20150629,55565.36,1.2,3.32,27.2,64.74,22.86,32542
600895,张江高科,园区开发,上海,34.57,15.49,15.49,1904078.38,831545.13,1956.9,263649.78,1.7,0.469,5.33,3.04,19960422,303771.41,1.96,-13.7,50.87,38.84,34.81,134228
600628,新世界,百货,上海,31.07,5.32,6.47,578226.88,267076.16,261972.3,159849.23,2.47,0.45,6.2,1.96,19930119,143629.92,2.22,-3.07,384.07,29.32,8.37,49860
002413,雷科防务,通信设备,江苏,114.91,7.08,10.93,373268.69,183970.97,7304.38,189499.8,1.73,0.096,3.16,3.5,20100528,41364.84,0.38,-73.85,-25.07,51.15,19.85,66052
002028,思源电气,电气设备,上海,189.83,5.79,7.6,616183.81,515938.94,54877.36,9010.03,0.12,0.023,5.56,3.08,20040805,307110.47,4.04,-14.1,-65.0,35.13,2.85,27859
002510,天汽模,汽车配件,天津,33.58,6.6,8.36,425289.41,272514.19,73544.52,34641.34,0.41,0.18,2.42,2.49,20101125,76735.65,0.92,9.28,-8.61,21.62,7.61,78701
601618,中国中冶,建筑施工,北京,19.24,162.39,207.24,37749160.0,30277452.0,3003775.5,2243834.5,1.08,0.25,3.69,1.35,20090921,1620390.38,0.78,1.03,11.96,12.84,2.45,527034
002839,张家港行,银行,江苏,47.15,1.81,18.08,8756601.0,0.0,0.0,0.0,0.0,0.285,4.59,3.91,20170124,0.0,0.0,-2.14,-4.09,0.0,29.35,298143
002300,太阳电缆,电气设备,福建,41.68,5.43,5.43,307170.31,151276.13,112607.42,34788.65,0.64,0.28600000000000003,2.47,4.84,20091021,25804.61,0.48,-3.44,-14.23,13.13,4.46,71991
002521,齐峰新材,造纸,山东,35.17,4.3,4.95,424317.75,274145.63,123841.51,199038.47,4.02,0.078,6.96,1.57,20101210,84780.99,1.71,43.31,103.67,16.17,4.97,34713
000023,深天地Ａ,其他建材,深圳,345.07,1.39,1.39,151396.52,136582.81,9005.61,10253.23,0.74,0.07200000000000001,2.79,8.87,19930429,9710.76,0.7,-2.68,-62.77,12.98,0.99,8611
600719,大连热电,供气供热,辽宁,15.6,4.05,4.05,162616.09,55237.4,76561.81,10217.32,0.25,0.142,1.94,4.56,19960716,11260.0,0.28,20.56,-30.81,25.13,13.27,28600
600313,农发种业,种植业,北京,303.64,9.94,10.82,417044.19,253008.97,70882.53,47319.3,0.44,0.015,1.6,3.68,20010119,16426.42,0.15,5.23,12.71,5.55,0.54,30766
002244,滨江集团,区域地产,浙江,12.4,27.03,31.11,5094941.0,4443698.0,24867.86,233779.27,0.75,0.138,4.25,1.61,20080529,702829.75,2.26,-74.24,12.23,37.64,35.37,46200
000065,北方国际,建筑施工,北京,70.61,4.01,5.13,955243.19,817014.25,12335.92,91439.47,1.78,0.311,5.05,5.79,19980605,80937.18,1.58,94.53,55.38,9.69,4.81,16620
002831,裕同科技,广告包装,深圳,43.76,0.4,4.0,729814.94,490416.41,156357.36,135212.38,3.38,0.406,11.09,6.4,20161216,251779.63,6.29,0.0,0.0,31.21,11.67,24671
300630,普利制药,化学制药,海南,69.23,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.5710000000000001,3.35,11.8,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,35778
002228,合兴包装,广告包装,福建,40.94,10.39,10.43,385464.41,236326.5,88762.97,1119.65,0.01,0.028999999999999998,1.59,3.02,20080508,57001.86,0.55,49.87,37.54,15.5,2.67,43165
