code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300409,道氏技术,陶瓷,广东,304.0,8846.25,21500.0,145620.52,108899.7,20249.23,73706.88,3.43,0.044000000000000004,5.09,10.42,20141203
002103,广博股份,文教休闲,浙江,169.58,26256.3,45767.75,199418.38,71185.18,29300.76,96027.86,2.1,0.027000000000000003,3.57,5.09,20070110
300016,北陆药业,中成药,北京,82.2,25435.75,32599.32,108885.01,57893.05,18745.45,32867.28,1.01,0.063,2.8,7.4,20091030
600777,新潮能源,综合类,山东,0.0,62542.32,106611.49,697554.44,372059.63,8297.67,428540.91,4.02,-0.04,5.16,3.04,19961121
603166,福达股份,汽车配件,广西,275.78,7804.91,59201.87,353715.03,174970.52,147962.52,113264.56,1.91,0.019,3.44,6.05,20141127
300312,邦讯技术,通信设备,北京,0.0,17514.0,32004.0,161354.47,137859.17,2316.95,51742.73,1.62,-0.084,2.4,6.58,20120508
603005,晶方科技,半导体,江苏,120.64,9963.91,22669.69,197201.75,75040.55,88241.57,81391.13,3.59,0.071,7.34,4.67,20140210
002511,中顺洁柔,造纸,广东,49.71,48358.89,50552.39,455313.0,206928.38,224618.84,133482.44,2.64,0.09,4.93,3.63,20101125
600769,祥龙电业,建筑施工,湖北,834.43,37497.71,37497.71,9557.15,8207.42,150.47,36712.4,0.98,0.006999999999999999,0.12,99.2,19961101
300494,盛天网络,互联网,湖北,133.03,6000.0,24000.0,86715.55,78068.03,5326.95,33687.71,1.4,0.162,3.48,12.35,20151231
300459,金科娱乐,化工原料,浙江,240.37,13041.95,52708.69,87730.8,37857.2,23407.05,16226.87,0.31,0.037000000000000005,2.44,14.69,20150515
000573,粤宏远Ａ,区域地产,广东,198.57,62217.32,62275.55,294843.94,188470.95,7718.18,55476.16,0.89,0.012,2.43,3.98,19940815
300285,国瓷材料,陶瓷,山东,189.01,20618.33,29915.06,194785.52,126315.65,40775.85,97511.31,3.26,0.06,5.36,7.12,20120113
603588,高能环境,环境保护,北京,0.0,24275.63,33092.3,345524.91,179035.13,9911.19,95938.5,2.9,-0.036000000000000004,5.58,5.51,20141229
600386,北巴传媒,公共交通,北京,67.19,40320.0,40320.0,346390.72,227647.02,47310.19,64700.63,1.6,0.062,4.37,3.83,20010216
300474,景嘉微,元器件,湖南,182.82,3350.0,13350.0,92133.24,77227.25,829.03,36424.8,2.73,0.23,6.08,20.79,20160331
300476,胜宏科技,元器件,广东,55.75,18337.24,37390.0,207010.81,133941.27,64832.16,78898.5,2.11,0.107,3.44,6.92,20150611
600593,大连圣亚,旅游景点,辽宁,0.0,9200.0,9200.0,60744.61,10822.13,22124.85,19775.53,2.15,-0.105,4.09,8.05,20020711
300216,千山药机,医疗保健,湖南,137.43,26730.44,36143.48,311617.88,165314.77,46388.35,21622.02,0.6,0.052000000000000005,2.79,10.16,20110511
300277,海联讯,软件服务,深圳,0.0,33425.0,33500.0,61266.76,43176.03,11091.21,28388.05,0.85,-0.01,1.39,9.84,20111123
300124,汇川技术,电器仪表,深圳,53.52,126335.27,160403.89,598846.63,467498.69,60127.63,154727.48,0.96,0.087,2.62,7.1,20100928
600275,武昌鱼,农业综合,湖北,0.0,50883.71,50883.71,36665.68,4556.5,4424.21,13208.38,0.26,-0.01,0.35,24.42,20000810
002044,美年健康,医疗保健,江苏,0.0,55579.69,242148.27,438121.34,167807.97,63971.8,131525.63,0.54,-0.053,1.21,11.17,20050518
002211,宏达新材,橡胶,江苏,0.0,26630.28,43247.57,112371.27,79479.72,21028.89,103788.3,2.4,-0.006999999999999999,1.76,7.82,20080201
000016,深康佳Ａ,家用电器,深圳,387.07,159659.38,240794.55,1361018.63,1008141.5,163013.56,7820.95,0.03,0.004,1.17,4.62,19920327
603601,再升科技,玻璃,重庆,104.1,7106.0,17552.33,47285.01,20796.45,13444.92,8746.38,0.5,0.10300000000000001,2.38,17.98,20150122
002292,奥飞娱乐,影视音像,广东,120.7,67387.7,130893.84,758917.0,347362.72,25133.56,140481.88,1.07,0.061,3.43,8.65,20090910
002642,荣之联,软件服务,北京,800.71,34380.66,63624.05,460138.5,249642.72,23780.73,259620.3,4.08,0.008,5.63,4.31,20111220
002164,宁波东力,电气设备,浙江,0.0,40512.48,44562.5,177558.27,68696.96,65456.17,43837.55,0.98,-0.005,2.42,3.8,20070823
002359,齐星铁塔,钢加工,山东,418.37,38333.25,41680.0,138286.94,81962.63,45245.43,45576.28,1.09,0.015,2.27,11.04,20100210
002500,山西证券,证券,山西,204.12,248846.95,282872.5,4479726.0,0.0,33286.26,671329.63,2.37,0.018000000000000002,4.38,3.36,20101115
002546,新联电子,电气设备,江苏,91.26,65696.09,83404.9,176619.44,134777.3,30599.0,2300.33,0.03,0.028999999999999998,1.62,6.65,20110211
