code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300648,N星云,电器仪表,福建,68.06,0.17,0.68,35896.73,25502.99,6790.08,7565.16,1.12,0.083,4.44,5.11,20170425,8841.1,1.31,0.0,0.0,52.13,14.36,31415
603096,N新经典,出版业,天津,22.61,0.33,1.33,86386.88,80622.42,567.05,25856.61,1.94,0.34299999999999997,7.11,4.37,20170425,31503.99,2.36,0.0,0.0,44.47,23.21,33884
002865,N钧达,汽车配件,海南,28.04,0.3,1.2,142530.13,79633.0,36548.26,17379.65,1.45,0.465,6.22,2.1,20170425,28791.58,2.4,20.51,20.98,24.72,6.04,55732
002204,大连重工,专用机械,辽宁,138.87,19.31,19.31,1699319.75,1281585.25,319295.13,240572.72,1.25,0.03,3.42,1.6,20080116,204048.67,1.06,-14.98,91.78,16.62,1.39,44372
600113,浙江东日,区域地产,浙江,47.43,3.19,3.19,91798.56,10749.1,18635.4,0.0,0.0,0.312,1.79,8.27,19971021,24722.17,0.78,-63.78,7.53,53.47,27.77,42853
002863,今飞凯达,汽车配件,浙江,38.54,0.56,2.22,290186.03,134217.45,127243.77,9150.5,0.41,0.33,3.55,3.59,20170418,29371.68,1.33,7.62,27.19,17.34,3.19,97808
002125,湘潭电化,化工原料,湖南,165.34,2.23,3.46,217851.16,71055.2,92799.32,69002.52,2.0,0.064,3.05,3.49,20070403,151.3,0.0,5.14,94.49,23.59,3.38,26434
603081,大丰实业,专用机械,浙江,54.56,0.52,4.02,183072.97,134155.52,25226.28,5280.75,0.13,0.092,2.46,8.12,20170420,40209.3,1.0,0.0,0.0,31.46,13.87,48245
300554,三超新材,矿物制品,江苏,35.84,0.13,0.52,31132.78,19869.5,9722.61,10526.3,2.02,0.7290000000000001,5.73,4.56,20170421,7117.87,1.37,35.83,13.17,48.87,24.33,24216
300645,正元智慧,软件服务,浙江,31.36,0.17,0.67,57127.92,48341.26,751.42,13548.47,2.03,0.6859999999999999,6.86,3.14,20170421,14196.87,2.13,13.62,36.77,40.35,12.59,30724
603050,科林电气,电气设备,河北,57.87,0.33,1.33,115509.52,91858.75,17766.82,21121.35,1.58,0.499,6.21,4.65,20170414,28356.39,2.13,31.09,17.48,28.79,8.38,32980
