date,open,close,high,low,volume,code
2014-04-25,6.164,5.927,6.164,5.92,84950.0,002325
2014-04-28,5.868,5.644,5.96,5.572,64106.0,002325
2014-04-29,5.651,5.69,5.723,5.625,38847.0,002325
2014-04-30,5.697,5.677,5.73,5.638,36415.0,002325
2014-05-05,5.684,5.605,5.71,5.434,88423.0,002325
2014-05-06,5.579,5.697,5.704,5.526,59089.0,002325
2014-05-07,5.664,5.572,5.828,5.506,61615.0,002325
2014-05-08,5.533,5.441,5.631,5.441,79096.0,002325
2014-05-09,5.434,5.25,5.474,5.178,119321.0,002325
2014-05-12,5.276,5.375,5.388,5.211,58019.0,002325
2014-05-13,5.368,5.375,5.421,5.322,38916.0,002325
2014-05-14,5.382,5.382,5.421,5.368,37578.0,002325
2014-05-15,5.382,5.296,5.408,5.276,30818.0,002325
2014-05-16,5.276,5.283,5.316,5.23,23016.0,002325
2014-05-19,5.283,5.27,5.303,5.191,31940.0,002325
2014-05-20,5.276,5.283,5.342,5.263,24834.0,002325
2014-05-21,5.276,5.382,5.382,5.204,33491.0,002325
2014-05-22,5.342,5.336,5.421,5.329,34644.0,002325
2014-05-23,5.342,5.322,5.375,5.25,77937.0,002325
2014-05-26,5.369,5.415,5.475,5.336,72884.0,002325
2014-05-27,5.402,5.369,5.442,5.336,38105.0,002325
2014-05-28,5.342,5.356,5.382,5.27,74680.0,002325
2014-05-29,5.356,5.29,5.369,5.243,49715.0,002325
2014-05-30,5.27,5.27,5.342,5.237,33029.0,002325
2014-06-03,5.283,5.263,5.375,5.25,63329.0,002325
2014-06-04,5.263,5.051,5.263,4.979,85987.0,002325
2014-06-05,5.045,5.065,5.091,5.005,68059.0,002325
2014-06-06,5.065,5.118,5.177,5.065,56145.0,002325
2014-06-09,5.124,5.23,5.263,5.078,98067.0,002325
2014-06-10,5.21,5.217,5.237,5.137,51137.0,002325
2014-06-11,5.223,5.21,5.25,5.184,53008.0,002325
2014-06-12,5.21,5.19,5.243,5.164,37534.0,002325
2014-06-13,5.19,5.323,5.323,5.177,91363.0,002325
2014-06-16,5.316,5.303,5.329,5.263,51949.0,002325
2014-06-17,5.303,5.243,5.316,5.21,36032.0,002325
2014-06-18,5.25,5.131,5.263,5.118,44973.0,002325
2014-06-19,5.078,5.098,5.204,5.038,44913.0,002325
2014-06-20,5.085,5.085,5.124,5.038,23240.0,002325
2014-06-23,5.085,5.124,5.144,5.065,43907.0,002325
2014-06-24,5.098,5.124,5.144,5.078,31855.0,002325
2014-06-25,5.104,5.223,5.263,5.104,61649.0,002325
2014-06-26,5.19,5.323,5.369,5.157,89137.0,002325
2014-06-27,5.323,5.442,5.58,5.283,124228.0,002325
2014-06-30,5.455,5.422,5.494,5.389,85602.0,002325
2014-07-01,5.442,5.614,5.647,5.356,114413.0,002325
2014-07-02,5.574,5.706,5.752,5.561,154413.0,002325
2014-07-03,5.693,5.739,5.852,5.673,130406.0,002325
2014-07-04,5.719,5.653,5.739,5.62,67353.0,002325
2014-07-07,5.66,5.852,5.99,5.627,141605.0,002325
2014-07-08,5.838,5.885,5.984,5.818,87541.0,002325
2014-07-09,5.832,5.858,6.136,5.825,120836.0,002325
2014-07-15,5.997,5.739,6.123,5.607,153522.0,002325
2014-07-16,5.825,5.818,5.99,5.752,88678.0,002325
2014-07-17,5.792,5.739,5.852,5.64,70292.0,002325
2014-07-18,5.713,5.779,5.865,5.673,53878.0,002325
2014-07-21,5.779,5.699,5.818,5.666,33341.0,002325
2014-07-22,5.719,5.799,5.812,5.607,82798.0,002325
2014-07-23,5.766,5.845,5.878,5.752,66549.0,002325
2014-07-24,5.838,6.01,6.109,5.818,115591.0,002325
2014-07-25,6.169,6.023,6.169,6.01,74107.0,002325
2014-08-05,6.149,6.037,6.149,5.937,103370.0,002325
2014-08-06,6.01,6.149,6.162,5.911,120489.0,002325
2014-08-07,6.109,6.109,6.215,6.09,59947.0,002325
2014-08-08,6.103,6.248,6.334,6.083,84059.0,002325
2014-08-11,6.334,6.427,6.48,6.235,88866.0,002325
2014-08-12,6.407,6.48,6.546,6.334,93584.0,002325
2014-08-13,6.48,6.453,6.638,6.341,144560.0,002325
2014-08-14,6.619,6.414,6.678,6.4,107907.0,002325
2014-08-15,6.354,6.38,6.42,6.275,90862.0,002325
2014-08-18,6.4,6.473,6.493,6.202,142748.0,002325
2014-08-19,6.427,6.268,6.447,6.202,184352.0,002325
2014-08-20,6.248,6.268,6.308,6.209,72178.0,002325
2014-08-21,6.281,6.334,6.367,6.202,70512.0,002325
2014-08-22,6.314,6.473,6.493,6.295,100265.0,002325
2014-08-25,6.506,6.46,6.513,6.367,81918.0,002325
2014-08-26,6.48,6.228,6.48,6.209,90055.0,002325
2014-08-27,6.261,6.328,6.328,6.202,57361.0,002325
2014-08-28,6.328,6.222,6.361,6.202,53123.0,002325
2014-08-29,6.235,6.255,6.275,6.109,83996.0,002325
2014-09-01,6.255,6.46,6.519,6.176,123681.0,002325
2014-09-02,6.46,6.466,6.513,6.367,116059.0,002325
2014-09-03,6.453,6.546,6.612,6.433,145243.0,002325
2014-09-04,6.579,6.605,6.711,6.499,159463.0,002325
2014-09-05,6.592,6.632,6.704,6.566,145101.0,002325
2014-09-09,6.658,6.552,6.678,6.486,107942.0,002325
2014-09-10,6.533,7.028,7.194,6.499,270470.0,002325
2014-09-11,6.942,6.817,6.982,6.764,234718.0,002325
2014-09-12,6.797,6.83,6.89,6.738,131525.0,002325
2014-09-15,6.843,6.757,6.863,6.638,199005.0,002325
2014-09-16,6.771,6.566,6.903,6.546,263917.0,002325
2014-09-17,6.579,6.585,6.619,6.447,122199.0,002325
2014-09-18,6.546,6.579,6.638,6.526,74215.0,002325
2014-09-19,6.599,6.638,6.671,6.546,87256.0,002325
2014-09-22,6.658,6.493,6.658,6.447,88177.0,002325
2014-09-23,6.473,6.506,6.539,6.46,105468.0,002325
2014-09-24,6.506,6.658,6.671,6.48,125732.0,002325
2014-09-25,6.658,6.724,6.724,6.605,157274.0,002325
2014-09-26,6.678,6.771,6.89,6.678,173432.0,002325
2014-09-29,6.764,6.784,6.843,6.724,124173.0,002325
2014-09-30,6.81,6.903,6.989,6.79,180443.0,002325
2014-10-08,6.916,6.87,7.009,6.81,155996.0,002325
2014-10-09,6.87,6.823,6.916,6.738,182743.0,002325
2014-10-10,6.777,6.671,6.79,6.658,151361.0,002325
2014-10-13,6.652,6.724,6.731,6.625,99138.0,002325
2014-10-14,6.718,6.546,6.764,6.539,127293.0,002325
2014-10-15,6.704,6.678,6.731,6.585,106706.0,002325
2014-10-16,6.599,6.546,6.731,6.546,101055.0,002325
2014-10-17,6.513,6.592,6.625,6.4,90701.0,002325
2014-10-20,6.566,6.638,6.658,6.566,49109.0,002325
2014-10-21,6.638,6.566,6.678,6.539,62365.0,002325
2014-10-22,6.566,6.447,6.579,6.433,70105.0,002325
2014-10-23,6.42,6.222,6.453,6.209,110302.0,002325
2014-10-24,6.235,6.202,6.275,6.162,55440.0,002325
2014-10-27,6.202,6.242,6.268,6.156,37413.0,002325
2014-10-28,6.261,6.367,6.367,6.248,62693.0,002325
2014-10-29,6.361,6.533,6.566,6.361,120810.0,002325
2014-10-30,6.533,6.533,6.546,6.48,67591.0,002325
2014-10-31,6.533,6.519,6.552,6.433,87703.0,002325
2014-11-03,6.539,6.671,6.671,6.526,93915.0,002325
2014-11-04,6.678,6.777,6.817,6.592,206316.0,002325
2014-11-05,6.751,6.704,6.843,6.665,113235.0,002325
2014-11-06,6.731,6.718,6.784,6.632,88965.0,002325
2014-11-07,6.718,6.704,6.857,6.691,188879.0,002325
2014-11-10,6.731,6.704,6.784,6.645,101032.0,002325
2014-11-11,6.777,6.572,6.797,6.414,130235.0,002325
2014-11-12,6.572,6.784,6.817,6.526,144551.0,002325
2014-11-13,6.777,6.863,6.942,6.718,231681.0,002325
2014-11-14,6.837,6.883,7.035,6.797,186252.0,002325
2014-11-17,6.87,7.154,7.306,6.784,316281.0,002325
2014-11-18,7.141,7.28,7.3,7.015,271884.0,002325
2014-11-19,7.227,7.161,7.392,7.114,222206.0,002325
2014-11-20,7.161,7.101,7.326,7.061,142882.0,002325
2014-11-21,7.101,7.531,7.663,7.042,291581.0,002325
2014-11-24,7.604,7.756,7.981,7.485,313589.0,002325
2014-11-25,7.743,7.696,7.934,7.597,203834.0,002325
2014-11-26,7.65,7.914,7.941,7.597,195055.0,002325
2014-11-27,7.914,7.947,8.119,7.822,190204.0,002325
2014-11-28,7.934,7.637,8.067,7.637,229394.0,002325
2014-12-01,7.643,7.762,7.776,7.504,178656.0,002325
2014-12-02,7.723,7.743,7.914,7.676,123081.0,002325
2014-12-03,7.67,7.385,7.676,7.293,326511.0,002325
2014-12-04,7.385,7.438,7.511,7.346,195063.0,002325
2014-12-05,7.438,7.147,7.438,6.962,245562.0,002325
2014-12-08,7.075,7.187,7.306,7.002,192341.0,002325
2014-12-09,7.161,6.896,7.161,6.883,166372.0,002325
2014-12-10,6.896,7.121,7.2,6.896,131616.0,002325
2014-12-11,7.128,7.273,7.319,7.088,142175.0,002325
2014-12-12,7.313,7.3,7.392,7.214,98815.0,002325
2014-12-15,7.326,7.63,7.643,7.313,237683.0,002325
2014-12-16,7.67,7.571,7.802,7.518,146346.0,002325
2014-12-17,7.504,7.419,7.571,7.319,147456.0,002325
2014-12-18,7.471,7.253,7.471,7.207,143802.0,002325
2014-12-19,7.273,7.24,7.313,7.009,100926.0,002325
2014-12-22,7.181,6.942,7.181,6.744,98320.0,002325
2014-12-23,6.969,7.075,7.108,6.757,57718.0,002325
2014-12-24,7.048,7.207,7.253,7.022,64239.0,002325
2014-12-25,7.207,7.412,7.432,7.141,88113.0,002325
2014-12-26,7.385,7.306,7.425,7.273,74308.0,002325
2014-12-29,7.3,7.266,7.306,7.002,103452.0,002325
2014-12-30,7.141,7.095,7.174,6.995,70797.0,002325
2014-12-31,7.266,7.174,7.266,7.022,67361.0,002325
2015-01-05,7.2,7.339,7.419,7.075,167177.0,002325
2015-01-06,7.26,7.511,7.531,7.253,188075.0,002325
2015-01-07,7.518,7.385,7.531,7.273,97808.0,002325
2015-01-08,7.359,7.174,7.425,7.154,84138.0,002325
2015-01-09,7.174,7.134,7.253,7.088,69913.0,002325
2015-01-12,7.134,7.028,7.181,6.995,61948.0,002325
2015-01-13,7.028,7.293,7.313,6.995,78947.0,002325
2015-01-14,7.319,7.075,7.333,7.022,76681.0,002325
2015-01-15,7.081,7.167,7.167,7.042,60757.0,002325
2015-01-16,7.154,7.366,7.372,7.108,168072.0,002325
2015-01-19,7.194,6.942,7.319,6.929,126740.0,002325
2015-01-20,6.949,7.26,7.286,6.949,116996.0,002325
2015-01-21,7.266,7.366,7.465,7.26,230214.0,002325
2015-01-22,7.372,7.538,7.657,7.326,226966.0,002325
2015-01-23,7.491,7.412,7.577,7.306,174546.0,002325
2015-01-26,7.471,7.69,7.729,7.425,201137.0,002325
2015-01-27,7.736,7.756,7.828,7.531,215516.0,002325
2015-01-28,7.657,7.637,7.762,7.571,141726.0,002325
2015-01-29,7.564,7.604,7.822,7.538,126788.0,002325
2015-01-30,7.637,7.352,7.69,7.339,148981.0,002325
2015-02-02,7.207,7.438,7.564,7.181,141793.0,002325
2015-02-03,7.531,7.782,7.842,7.445,210059.0,002325
2015-02-04,7.868,7.703,7.901,7.676,157913.0,002325
2015-02-05,7.762,7.749,7.901,7.657,167575.0,002325
2015-02-06,7.736,7.868,8.199,7.683,248907.0,002325
2015-02-09,7.941,8.331,8.655,7.815,437626.0,002325
2015-03-16,9.164,9.164,9.164,9.164,5637.0,002325
2015-03-17,10.083,10.083,10.083,10.083,3645.0,002325
2015-03-18,11.095,11.095,11.095,11.095,17166.0,002325
