date,open,close,high,low,volume,code
2015-04-20,5.393,5.428,5.665,5.393,293652.0,300088
2015-04-21,5.438,5.702,5.717,5.438,208920.0,300088
2015-04-22,5.8,5.906,5.99,5.702,327385.0,300088
2015-04-23,5.919,5.857,6.04,5.845,358819.0,300088
2015-04-30,6.407,5.837,6.407,5.837,482685.0,300088
2015-05-04,5.795,5.946,6.106,5.773,270307.0,300088
2015-05-05,5.921,5.623,5.993,5.611,213725.0,300088
2015-05-06,5.694,5.823,6.049,5.66,293954.0,300088
2015-05-07,5.825,6.032,6.262,5.795,299231.0,300088
2015-05-08,6.042,6.636,6.636,6.04,400274.0,300088
2015-05-11,6.89,7.033,7.214,6.659,432906.0,300088
2015-05-12,6.955,7.11,7.196,6.814,352366.0,300088
2015-05-13,6.797,7.058,7.189,6.794,296224.0,300088
2015-05-14,7.122,7.174,7.344,7.115,267076.0,300088
2015-05-15,7.004,7.892,7.892,6.913,311581.0,300088
2015-06-10,7.867,8.681,8.681,7.401,411742.0,300088
2015-06-11,9.125,9.549,9.549,9.026,108391.0,300088
2015-06-12,10.235,9.495,10.235,9.075,471611.0,300088
2015-06-15,9.354,9.105,9.699,9.004,313480.0,300088
2015-06-16,8.91,8.585,9.095,8.521,230089.0,300088
2015-06-17,8.678,8.639,8.752,8.015,265203.0,300088
2015-06-18,9.075,8.824,9.371,8.755,346198.0,300088
2015-06-19,8.459,7.951,8.706,7.941,191411.0,300088
2015-06-23,8.027,7.921,8.234,7.327,227406.0,300088
2015-06-24,8.035,8.064,8.264,7.761,237531.0,300088
2015-06-25,8.133,8.215,8.752,7.887,262190.0,300088
2015-06-26,7.892,7.394,8.138,7.394,235629.0,300088
2015-06-29,7.394,6.654,7.416,6.654,256378.0,300088
2015-06-30,6.128,6.782,7.211,5.988,383151.0,300088
2015-07-01,6.903,6.259,7.401,6.165,401264.0,300088
2015-07-02,6.461,5.672,6.659,5.633,436941.0,300088
2015-07-23,6.239,6.239,6.239,6.239,46090.0,300088
2015-07-24,6.863,6.863,6.863,6.687,365466.0,300088
2015-07-27,6.737,6.177,7.032,6.177,595032.0,300088
2015-07-28,5.697,5.56,6.138,5.56,518515.0,300088
2015-07-29,5.647,5.573,5.84,5.006,494800.0,300088
2015-07-30,5.479,5.018,5.585,5.018,362940.0,300088
2015-07-31,4.919,5.521,5.521,4.817,401374.0,300088
2015-08-03,5.447,5.201,5.573,4.991,382742.0,300088
2015-08-04,5.313,5.714,5.719,5.199,365275.0,300088
2015-08-05,5.65,5.501,5.746,5.449,312921.0,300088
2015-08-06,5.352,5.32,5.503,5.253,203457.0,300088
2015-08-07,5.449,5.615,5.66,5.424,280491.0,300088
2015-08-10,5.694,6.019,6.108,5.65,321930.0,300088
2015-08-11,5.994,6.118,6.316,5.922,338755.0,300088
2015-08-12,6.056,6.004,6.232,5.969,254796.0,300088
2015-08-13,5.944,6.09,6.113,5.808,212305.0,300088
2015-08-14,6.138,6.138,6.385,6.068,247225.0,300088
2015-08-17,6.068,6.046,6.165,5.875,198164.0,300088
2015-08-18,6.14,5.442,6.175,5.442,268539.0,300088
2015-08-19,5.152,5.986,5.986,4.916,472626.0,300088
2015-08-20,6.167,5.944,6.435,5.895,713749.0,300088
2015-08-21,5.682,5.35,5.806,5.35,358939.0,300088
2015-08-24,4.971,4.815,5.172,4.815,209709.0,300088
2015-08-25,4.334,4.334,4.441,4.334,297525.0,300088
2015-08-26,4.31,3.901,4.471,3.901,394324.0,300088
2015-08-27,4.032,4.017,4.161,3.653,285367.0,300088
2015-08-28,4.156,4.364,4.396,4.012,321838.0,300088
2015-08-31,4.359,3.928,4.359,3.928,241490.0,300088
2015-09-01,3.844,3.534,3.874,3.534,267770.0,300088
2015-09-02,3.344,3.564,3.745,3.319,275165.0,300088
2015-09-07,3.715,3.7,3.864,3.643,241883.0,300088
2015-09-08,3.668,4.0,4.035,3.646,239610.0,300088
2015-09-09,3.995,4.161,4.26,3.963,349290.0,300088
2015-09-10,4.042,4.01,4.166,3.99,199691.0,300088
2015-09-11,4.045,4.186,4.211,4.04,225557.0,300088
2015-09-14,4.225,3.767,4.26,3.767,274425.0,300088
2015-09-15,3.616,3.468,3.785,3.44,205754.0,300088
2015-09-16,3.557,3.814,3.814,3.529,216831.0,300088
2015-09-17,3.834,3.963,4.196,3.809,377519.0,300088
2015-09-18,4.025,4.082,4.121,3.839,280568.0,300088
2015-09-21,3.988,4.325,4.458,3.953,550074.0,300088
2015-09-22,4.28,4.27,4.419,4.151,535741.0,300088
2015-09-23,4.171,4.235,4.339,4.121,422552.0,300088
2015-09-24,4.305,4.29,4.404,4.22,422351.0,300088
2015-09-25,4.25,4.012,4.26,3.963,427090.0,300088
2015-09-28,4.012,4.245,4.325,3.938,395393.0,300088
2015-09-29,4.121,4.072,4.186,4.007,330879.0,300088
2015-09-30,4.102,4.107,4.176,4.042,200938.0,300088
2015-10-08,4.285,4.329,4.399,4.216,446236.0,300088
2015-10-09,4.339,4.483,4.547,4.31,498052.0,300088
2015-10-12,4.552,4.79,4.879,4.518,576559.0,300088
2015-10-13,4.785,4.83,4.864,4.701,415842.0,300088
2015-10-14,4.795,4.632,4.83,4.627,457203.0,300088
2015-10-15,4.582,5.097,5.097,4.582,712230.0,300088
2015-10-16,5.196,5.112,5.221,4.939,689544.0,300088
2015-10-19,5.063,5.107,5.152,4.909,546298.0,300088
2015-10-20,5.097,5.266,5.38,5.033,611593.0,300088
2015-10-21,5.241,4.741,5.246,4.741,629446.0,300088
2015-10-22,4.765,5.003,5.033,4.716,513225.0,300088
2015-10-23,5.063,5.246,5.325,4.998,617610.0,300088
2015-10-26,5.36,5.216,5.39,5.157,548068.0,300088
2015-10-27,5.152,5.241,5.295,4.864,529736.0,300088
2015-10-28,5.157,4.983,5.286,4.964,412905.0,300088
2015-10-29,5.058,5.033,5.132,4.954,325894.0,300088
2015-10-30,4.988,4.993,5.142,4.879,339385.0,300088
2015-11-02,4.869,4.874,5.102,4.845,339143.0,300088
2015-11-03,4.904,4.84,4.934,4.755,295691.0,300088
2015-11-04,4.874,5.325,5.325,4.864,900130.0,300088
2015-11-05,5.439,5.622,5.736,5.33,1200833.0,300088
2015-11-06,5.627,5.865,6.043,5.538,838098.0,300088
2015-11-09,5.736,5.895,6.093,5.598,683703.0,300088
2015-11-10,5.821,5.796,5.969,5.697,564233.0,300088
2015-11-11,5.825,5.944,5.979,5.746,559180.0,300088
2015-11-12,6.019,6.162,6.296,5.944,724993.0,300088
2015-11-13,6.093,5.895,6.217,5.855,558312.0,300088
2015-11-16,5.697,6.009,6.043,5.647,463005.0,300088
2015-11-17,6.093,5.821,6.157,5.796,520963.0,300088
2015-11-18,5.845,5.776,6.004,5.776,318193.0,300088
2015-11-19,5.796,6.256,6.336,5.796,657795.0,300088
2015-11-20,6.247,6.588,6.742,6.192,834514.0,300088
2015-11-23,6.588,6.36,6.673,6.311,538504.0,300088
2015-11-24,6.301,6.588,6.588,6.266,444499.0,300088
2015-11-25,6.559,7.034,7.128,6.489,678052.0,300088
2015-11-26,7.054,6.861,7.108,6.836,480088.0,300088
2015-11-27,6.816,6.618,7.183,6.44,657121.0,300088
2015-11-30,6.618,7.148,7.262,6.242,757335.0,300088
2015-12-01,7.153,7.054,7.237,6.836,599937.0,300088
2015-12-02,6.985,6.707,7.108,6.385,515019.0,300088
