date,open,close,high,low,volume,code
2017-04-11,6.501,6.697,6.746,6.383,584227.0,601179
2017-04-12,6.648,6.442,6.648,6.393,399874.0,601179
2017-04-13,6.373,6.491,6.589,6.354,281987.0,601179
2017-04-14,6.432,6.393,6.589,6.334,302428.0,601179
2017-04-17,6.363,6.403,6.55,6.363,253591.0,601179
2017-04-18,6.471,6.363,6.471,6.354,232489.0,601179
2017-04-19,6.334,6.265,6.413,6.157,299706.0,601179
2017-04-20,6.255,6.354,6.354,6.187,244223.0,601179
2017-04-21,6.334,6.255,6.413,6.196,201378.0,601179
2017-04-24,6.265,5.872,6.275,5.853,361226.0,601179
2017-04-25,5.912,5.843,5.971,5.794,240768.0,601179
2017-04-26,5.823,5.863,5.902,5.804,127523.0,601179
2017-04-27,5.833,5.902,5.931,5.607,256001.0,601179
2017-04-28,5.872,5.961,5.971,5.813,188253.0,601179
2017-05-02,5.961,6.01,6.079,5.961,191442.0,601179
2017-05-03,6.0,5.941,6.049,5.892,171719.0,601179
2017-05-04,5.931,6.069,6.138,5.863,310612.0,601179
2017-05-05,6.03,6.03,6.098,5.951,280481.0,601179
2017-05-08,6.0,5.804,6.03,5.745,284387.0,601179
2017-05-09,5.784,5.931,5.971,5.656,210898.0,601179
2017-05-10,5.902,5.745,5.931,5.735,185635.0,601179
2017-05-11,5.705,5.686,5.774,5.499,228996.0,601179
2017-05-12,5.696,5.597,5.696,5.578,149921.0,601179
2017-05-15,5.647,5.548,5.666,5.499,149165.0,601179
2017-05-16,5.519,5.597,5.597,5.401,211898.0,601179
2017-05-17,5.578,5.607,5.647,5.558,128520.0,601179
2017-05-18,5.529,5.539,5.617,5.519,84858.0,601179
2017-05-19,5.519,5.489,5.568,5.48,96994.0,601179
2017-05-22,5.46,5.303,5.499,5.224,233831.0,601179
2017-05-23,5.254,5.126,5.313,5.087,191337.0,601179
2017-05-24,5.116,5.254,5.283,5.038,176655.0,601179
2017-05-25,5.254,5.254,5.303,5.116,204253.0,601179
2017-05-26,5.254,5.264,5.342,5.224,145407.0,601179
2017-05-31,5.313,5.244,5.352,5.205,225880.0,601179
2017-06-01,5.224,5.165,5.234,5.136,113238.0,601179
2017-06-02,5.146,5.234,5.254,5.136,105693.0,601179
2017-06-05,5.254,5.342,5.362,5.234,164440.0,601179
2017-06-06,5.332,5.352,5.381,5.303,105298.0,601179
2017-06-07,5.372,5.411,5.421,5.352,136660.0,601179
2017-06-08,5.411,5.362,5.421,5.352,129820.0,601179
2017-06-09,5.372,5.421,5.44,5.352,128682.0,601179
2017-06-12,5.421,5.401,5.44,5.362,137133.0,601179
2017-06-13,5.381,5.411,5.431,5.381,112397.0,601179
2017-06-14,5.411,5.421,5.46,5.401,121873.0,601179
2017-06-15,5.421,5.45,5.47,5.411,110703.0,601179
2017-06-16,5.45,5.38,5.46,5.33,109629.0,601179
2017-06-19,5.38,5.42,5.44,5.37,92047.0,601179
2017-06-20,5.43,5.43,5.44,5.36,91247.0,601179
2017-06-21,5.43,5.47,5.48,5.43,94742.0,601179
2017-06-22,5.46,5.47,5.52,5.46,134361.0,601179
2017-06-23,5.46,5.43,5.47,5.38,94748.0,601179
2017-06-26,5.45,5.53,5.54,5.42,130610.0,601179
2017-06-27,5.54,5.58,5.59,5.51,109833.0,601179
2017-06-28,5.57,5.58,5.62,5.53,85512.0,601179
2017-06-29,5.58,5.53,5.59,5.52,127446.0,601179
2017-06-30,5.51,5.56,5.58,5.49,108337.0,601179
2017-07-03,5.54,5.58,5.64,5.54,123650.0,601179
2017-07-04,5.59,5.54,5.62,5.54,124328.0,601179
2017-07-05,5.54,5.57,5.57,5.54,113075.0,601179
2017-07-06,5.58,5.54,5.58,5.49,140329.0,601179
2017-07-07,5.53,5.54,5.56,5.52,89448.0,601179
2017-07-10,5.52,5.58,5.6,5.52,123733.0,601179
2017-07-11,5.57,5.53,5.58,5.52,118022.0,601179
2017-07-12,5.52,5.5,5.54,5.47,126823.0,601179
2017-07-13,5.5,5.57,5.59,5.48,145116.0,601179
2017-07-14,5.56,5.54,5.57,5.51,100182.0,601179
2017-07-17,5.54,5.36,5.54,5.2,193006.0,601179
2017-07-18,5.34,5.4,5.41,5.31,110015.0,601179
2017-07-19,5.39,5.55,5.55,5.37,193121.0,601179
2017-07-20,5.55,5.56,5.61,5.53,191307.0,601179
2017-07-21,5.56,5.65,5.68,5.54,254254.0,601179
2017-07-24,5.63,5.7,5.82,5.62,282560.0,601179
2017-07-25,5.69,5.64,5.73,5.62,132612.0,601179
2017-07-26,5.67,5.66,5.69,5.61,119665.0,601179
2017-07-27,5.64,5.63,5.65,5.58,135652.0,601179
2017-07-28,5.63,5.64,5.67,5.6,101755.0,601179
2017-07-31,5.63,5.68,5.69,5.62,169314.0,601179
2017-08-01,5.67,5.67,5.74,5.66,148913.0,601179
2017-08-02,5.68,5.61,5.69,5.6,124710.0,601179
2017-08-03,5.6,5.65,5.67,5.59,110932.0,601179
2017-08-04,5.66,5.64,5.69,5.63,149272.0,601179
2017-08-07,5.63,5.68,5.68,5.59,105072.0,601179
2017-08-08,5.67,5.7,5.74,5.66,119729.0,601179
2017-08-09,5.7,5.84,5.87,5.68,270270.0,601179
2017-08-10,5.84,5.79,5.91,5.73,198126.0,601179
2017-08-11,5.74,5.62,5.76,5.59,195084.0,601179
2017-08-14,5.62,5.68,5.69,5.6,89307.0,601179
2017-08-15,5.65,5.59,5.7,5.58,133485.0,601179
2017-08-16,5.59,5.6,5.62,5.55,70716.0,601179
2017-08-17,5.6,5.67,5.69,5.6,101640.0,601179
2017-08-18,5.66,5.65,5.68,5.62,87173.0,601179
2017-08-21,5.67,5.71,5.74,5.65,90332.0,601179
2017-08-22,5.72,5.68,5.74,5.66,93096.0,601179
2017-08-23,5.69,5.63,5.69,5.63,58987.0,601179
2017-08-24,5.63,5.58,5.65,5.58,61862.0,601179
2017-08-25,5.58,5.67,5.69,5.58,89369.0,601179
2017-08-28,5.67,5.71,5.73,5.66,136209.0,601179
2017-08-29,5.72,5.67,5.73,5.65,94989.0,601179
2017-08-30,5.67,5.69,5.73,5.65,93587.0,601179
2017-08-31,5.7,5.73,5.76,5.68,118530.0,601179
2017-09-01,5.75,5.71,5.76,5.68,145475.0,601179
2017-09-04,5.7,5.71,5.72,5.67,108816.0,601179
2017-09-05,5.7,5.68,5.71,5.67,101849.0,601179
2017-09-06,5.66,5.84,5.93,5.65,352011.0,601179
2017-09-07,5.79,5.73,5.83,5.71,204932.0,601179
2017-09-08,5.73,5.68,5.74,5.67,115177.0,601179
2017-09-11,5.67,5.71,5.74,5.67,83247.0,601179
2017-09-12,5.71,5.7,5.74,5.68,107734.0,601179
2017-09-13,5.69,5.7,5.7,5.68,64294.0,601179
2017-09-14,5.7,5.69,5.73,5.67,92614.0,601179
2017-09-15,5.68,5.66,5.69,5.64,96242.0,601179
2017-09-18,5.65,5.66,5.68,5.64,83628.0,601179
2017-09-19,5.66,5.64,5.67,5.63,79183.0,601179
2017-09-20,5.65,5.65,5.66,5.62,59576.0,601179
2017-09-21,5.65,5.67,5.74,5.63,169994.0,601179
2017-09-22,5.69,5.61,5.69,5.58,103983.0,601179
2017-09-25,5.6,5.48,5.6,5.47,147892.0,601179
2017-09-26,5.5,5.48,5.53,5.47,67453.0,601179
2017-09-27,5.48,5.5,5.53,5.48,72705.0,601179
2017-09-28,5.51,5.44,5.52,5.42,91069.0,601179
