code,name,mbrg,nprg,nav,targ,epsg,seg
000811,冰轮环境,10.6623,-10.5976,11.3311,14.1518,-17.1875,7.2218
600790,轻纺城,19.1582,-10.6042,5.8229,-7.0793,-8.8889,5.8728
300571,平治信息,23.8411,-10.6049,30.1724,31.8079,-10.5263,30.1724
600185,格力地产,-32.2286,-10.9091,10.6819,18.1653,-11.4754,10.8269
000905,厦门港务,56.9715,-10.9135,13.2162,21.5859,-12.9032,10.9451
603859,能科股份,-8.4535,-11.0034,6.5771,-4.873,,6.5771
002726,龙大肉食,12.2906,-11.0211,62.305,40.6642,-23.9437,62.857
300382,斯莱克,-9.2898,-11.0381,95.5515,40.7106,-22.381,95.5552
603050,科林电气,19.0559,-11.0666,65.4227,26.0541,-24.4898,65.4227
300425,环能科技,0.9803,-11.0704,10.9143,21.8506,-9.0909,11.0244
300410,正业科技,17.8056,-11.0846,73.0846,49.5547,-10.9589,73.0846
600060,海信电器,1.8512,-11.1219,9.3991,4.2099,-11.6433,9.4296
603818,曲美家居,7.5403,-11.1679,11.5715,-2.7781,-12.6984,11.5715
002597,金禾实业,7.9764,-11.1722,5.3638,10.3082,11.3208,7.7158
603605,珀莱雅,21.6969,-11.2147,-43.5225,15.5851,-11.7647,-43.5225
300105,龙源技术,18.6503,-11.267000000000001,6.2673,7.2192,-50.7463,6.2620000000000005
300521,爱司凯,-17.2561,-11.3239,25.0239,0.7704,-11.4286,25.0239
002042,华孚时尚,-1.7208,-11.369000000000002,4.5266,11.9018,-16.6667,4.6764
002731,萃华珠宝,-10.0865,-11.3823,96.4289,57.7539,-16.3265,96.7691
000981,银亿股份,37.1079,-11.3887,12.2491,10.3643,-4.0541,11.4055
300648,星云股份,33.477,-11.3925,85.1934,117.6141,,87.0734
000402,金融街,10.8302,-11.5765,9.5978,15.1397,1.0417,8.6868
000970,中科三环,6.773,-11.5785,4.8811,-0.3623,-12.5,5.3835
000415,渤海金控,7.4565,-11.6355,50.235,18.5475,-33.7349,72.9555
002688,金河生物,13.3232,-11.6437,6.2284,49.3429,-57.8466,5.5521
000999,华润三九,-6.7296,-11.7311,9.9746,4.1469,-12.3967,9.9388
002259,升达林业,4.5441,-11.7325,18.9443,-23.6653,26.3158,1.564
002693,双成药业,7.7492,-11.7401,2.6341,2.8894,-40.5405,2.6341
600343,航天动力,-5.4882,-11.7736,0.2288,5.5198,-60.9845,-0.3955
002338,奥普光电,31.5673,-11.8064,4.7008,1.4859,-22.2222,4.2117
002810,山东赫达,12.9729,-11.8158,14.9872,14.5304,-11.4943,13.100999999999999
