,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3246,600844,*ST丹科,0.02,-110.01,,2.07,,1743.04,-110.0,,03-05
3247,002595,豪迈科技,1.26,-20.62,,20.89,,50223.62,58.76,,03-05
3248,000416,民生控股,0.17,1867.86,,10.08,,8792.69,1870.05,10派0.5,03-05
3249,300140,中环装备,0.07,-0.43,6.47,1.08,-0.06,849.92,-7.05,,03-05
3250,600230,沧州大化,-0.69,-245.31,,-11.37,,-19238.08,-256.72,,03-05
3251,002168,深圳惠程,-0.12,-340.0,,-8.21,,-8885.23,-349.17,,03-04
3252,600050,中国联通,0.19,15.64,,5.2,,398173.85,15.65,10派0.673,03-04
3253,600035,楚天高速,0.23,-14.81,,7.84,,28385.14,11.17,10派0.7转2,03-04
3254,002749,国光股份,2.06,-3.47,6.88,34.38,1.88,12358.68,-3.48,,03-04
3255,002280,联络互动,1.22,-412.82,,55.26,,16537.86,-499.43,,03-04
3256,000501,鄂武商A,1.3,41.3,,20.45,,65969.48,41.83,10派4,03-04
3257,002427,尤夫股份,0.4,471.43,,9.23,,9491.35,454.09,10派0.5转4,03-04
3258,600236,桂冠电力,0.26,162.63,,16.14,,59281.14,163.08,10派1.3,03-04
3259,000557,西部创业,0.0,-66.0,,0.21,,117.28,-67.26,,03-04
3260,600565,迪马股份,0.32,540.0,,14.37,,61540.7,1711.06,10派0.3,03-04
3261,300134,大富科技,1.39,717.65,6.69,22.23,1.24,53550.26,868.11,,03-04
3262,603338,浙江鼎力,1.89,10.53,7.47,28.62,1.77,9196.44,10.01,,03-04
3263,600845,宝信软件,0.9,5.52,,14.23,,32170.08,10.89,10派2.7,03-03
3264,603158,腾龙股份,1.12,28.74,4.33,29.26,1.42,8931.57,28.66,,03-03
3265,000049,德赛电池,1.14,-24.1,,37.05,,23454.29,13.84,10派2,03-03
3266,600379,宝光股份,0.09,8.58,,5.09,,2030.23,8.51,,03-03
3267,603030,全筑股份,0.63,12.03,3.52,19.62,-0.48,7500.63,12.02,,03-03
3268,000100,TCL集团,0.35,40.1,1.92,18.21,0.57,318320.62,50.93,10派0.8,03-03
3269,600284,浦东建设,0.51,-31.88,,7.3,,35271.09,-28.53,10派1.55,03-03
3270,300429,强力新材,1.14,18.75,,29.6,,6798.86,18.73,,03-03
3271,300267,尔康制药,0.63,-22.22,3.57,19.84,0.39,28828.86,49.43,,03-03
3272,300009,安科生物,0.38,1.09,2.54,15.88,0.37,10985.15,22.23,,03-03
3273,300428,四通新材,0.96,31.51,4.88,21.98,0.41,5830.16,31.59,,03-03
3274,600179,安通控股,-0.78,-2700.0,,-191.0,,-30580.12,-2994.98,,03-03
3275,300433,蓝思科技,1.94,-51.86,,17.27,4.22,117685.73,-51.85,,03-03
3276,002407,多氟多,0.02,-72.79,,0.29,,422.2,-74.19,,03-03
3277,002748,世龙实业,0.91,-14.86,5.82,15.79,1.12,8207.2,-14.87,,03-03
3278,300351,永贵电器,0.74,15.63,6.5,12.05,0.72,11415.47,75.4,,03-03
3279,603268,松发股份,0.74,13.85,4.39,18.09,0.71,4868.09,13.43,,03-03
3280,300432,富临精工,1.52,46.34,4.43,41.08,1.26,13677.65,46.34,,03-03
3281,600958,东方证券,0.55,129.17,4.35,13.81,1.16,234167.12,132.44,10派1.5,03-03
3282,601689,拓普集团,0.77,18.46,,26.32,0.88,39898.94,17.53,,03-03
3283,002175,东方网络,0.16,56.72,,3.17,,2173.86,99.97,,03-03
3284,300328,宜安科技,0.44,-1.56,5.59,8.11,0.26,4891.85,-1.56,,03-03
3285,300431,暴风集团,0.47,9.3,3.19,15.78,0.9,4194.15,8.83,,03-03
3286,002619,艾格拉斯,0.06,-75.0,,1.19,,696.57,-76.35,,03-03
3287,600398,海澜之家,0.54,145.45,,40.63,,237477.21,1575.5,10派3.8,03-03
3288,300430,诚益通,1.14,6.54,6.83,18.24,0.54,5207.8,6.91,,03-03
3289,603998,方盛制药,0.96,6.67,,18.9,,8099.26,10.29,,03-02
3290,600229,城市传媒,0.19,216.67,,6.89,,7679.4,216.19,,02-28
3291,002162,悦心健康,0.03,-36.17,,1.88,,1436.33,-33.51,10转5,02-28
3292,600862,中航高科,-0.32,-8100.0,,-17.0,,-20346.92,-7420.73,,02-28
3293,601010,文峰股份,0.6,15.38,,11.58,,44369.5,15.35,10派3.6转15,02-28
3294,000534,万泽股份,0.1,-67.74,,3.79,,5123.44,-66.18,10派0.5,02-28
3295,002487,大金重工,0.13,30.0,,3.09,,4726.23,29.61,,02-28
3296,300201,海伦哲,0.05,196.2,1.89,2.5,0.1,1647.71,196.59,,02-28
3297,600288,大恒科技,0.06,-28.39,,1.88,,2654.74,-28.41,10派0.19,02-28
3298,300146,汤臣倍健,0.77,-40.31,3.72,22.02,0.85,50259.5,19.19,,02-28
3299,002026,山东威达,0.34,69.07,,8.65,,9900.76,115.78,10派0.5,02-28
3300,002357,富临运业,0.6,72.35,,16.65,,11775.19,72.38,,02-28
3301,000690,宝新能源,0.59,-7.81,,21.7,,102147.42,-7.75,10派3,02-28
3302,002164,宁波东力,0.05,-600.0,,2.17,,2384.87,-677.23,,02-28
3303,002501,利源精制,0.85,25.0,,12.09,,39783.47,37.21,,02-28
3304,300253,卫宁健康,0.56,-25.33,3.52,17.62,0.2,12097.16,50.08,,02-28
3305,600468,百利电气,0.11,43.72,,7.84,,4858.52,43.81,10派0.32,02-28
3306,300226,上海钢联,0.12,-33.07,2.84,4.69,-2.76,1877.57,-13.04,,02-28
3307,603399,新华龙,0.16,-27.27,,5.13,,5539.59,0.99,,02-28
3308,300144,宋城演艺,0.65,18.18,6.18,11.01,0.95,36118.32,17.11,,02-27
3309,002044,美年健康,0.22,-833.33,,13.42,,4951.31,-894.15,10派0.8送2.4,02-27
3310,002138,顺络电子,0.6,27.66,,11.85,,21281.27,41.14,,02-27
3311,600689,上海三毛,0.3,-230.43,2.02,16.46,,6000.74,-227.18,,02-17
3312,601678,滨化股份,0.55,44.74,,8.46,,36166.96,43.15,,02-17
3313,000838,财信发展,0.41,24.82,,18.32,,7455.06,24.82,10派1.5,02-17
3314,300299,富春股份,0.08,-11.11,2.24,3.68,-0.07,1468.61,28.29,,02-17
3315,300256,星星科技,0.12,-112.28,7.15,1.69,-0.72,2689.72,-118.02,,02-17
3316,603118,共进股份,0.87,16.0,,,,19647.35,16.35,,02-17
3317,002172,澳洋科技,-0.19,-575.0,,-18.25,,-10426.75,-598.59,,02-17
3318,000509,华塑控股,-0.06,-173.45,,-73.76,,-5091.58,-342.54,,02-17
3319,600711,盛屯矿业,0.11,-52.7,,4.98,,15019.36,41.55,,02-17
3320,000667,美好置业,0.03,47.0,,1.39,,7531.78,45.71,,02-17
3321,300363,博腾股份,1.16,11.54,7.44,17.13,1.12,12548.6,25.23,,02-17
3322,002359,北讯集团,-0.2,-2840.28,,-8.48,,-8224.78,-2905.74,,02-17
3323,002118,紫鑫药业,0.09,-10.0,,2.4,,4719.32,-6.51,,02-17
