code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603039,泛微网络,0.72,9.09,2.73,30.48,1.32,3604.76,8.43,,12-29
002843,泰嘉股份,0.52,4.0,3.26,17.21,0.61,5380.5,7.84,,12-29
603337,杰克股份,1.1,233.33,3.31,38.79,1.72,17096.51,239.17,,12-29
300596,利安隆,0.44,,3.27,14.61,0.2,4003.45,13.74,,12-28
300584,海辰药业,0.55,,2.77,22.3,0.75,3328.73,30.07,,12-28
603630,拉芳家化,0.73,15.87,3.42,23.86,0.97,9538.34,18.65,,12-28
300592,华凯创意,,,2.09,22.5,0.02,3010.92,81.65,,12-28
601858,中国科传,0.3,15.38,2.21,14.58,0.42,19838.45,15.23,,12-28
002842,翔鹭钨业,0.72,7.46,4.39,17.52,1.41,5387.99,7.48,,12-27
300590,移为通信,,,,85.33,,4470.35,107.36,,12-27
603803,瑞斯康达,0.38,-32.14,5.25,13.2,0.4,13898.74,16.97,,12-27
603139,康惠制药,0.77,26.23,,19.38,0.53,5582.22,38.18,,12-27
300628,亿联网络,1.79,16.99,3.76,51.13,1.63,10009.34,16.51,,12-27
300639,凯普生物,0.49,48.48,3.08,20.14,0.37,2916.99,47.88,,12-27
603579,荣泰健康,0.52,,2.61,19.37,1.54,2582.5,281.83,,12-27
603165,荣晟环保,0.48,4.35,2.33,22.83,0.84,4530.79,2.89,,12-26
300589,江龙船艇,,,,36.07,,2129.38,71.86,,12-26
002917,金奥博,,,,15.44,,1448.39,,,12-23
300727,润禾材料,,,6.9,24.31,,2415.38,,,12-23
300731,科创新源,0.91,,1.13,44.28,0.35,3117.43,,,12-23
300711,广哈通信,0.22,,1.72,17.64,0.21,2162.91,,,12-23
002824,和胜股份,0.4,-20.0,3.51,12.02,,3583.67,-20.53,,12-22
603639,海利尔,1.02,39.73,3.73,31.15,1.71,9187.78,39.16,,12-22
300622,博士眼镜,0.51,0.0,3.37,15.49,0.29,3288.68,6.26,,12-21
300678,中科信息,0.53,,3.18,18.16,0.1,4008.38,35.17,,12-21
603628,清源股份,0.2,-55.56,1.9,10.65,0.05,4005.61,-20.19,,12-21
603896,寿仙谷,0.6,,2.86,31.01,0.63,5404.81,58.86,,12-21
300625,三雄极光,0.62,-66.67,6.84,45.31,3.6,12641.27,36.25,,12-21
603811,诚意药业,0.57,,3.15,19.81,0.75,3649.76,24.56,,12-20
