,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300738,奥飞数据,1.17,74.63,4.24,35.4,0.65,5556.97,107.33,,01-08
1,300737,科顺股份,0.63,43.18,2.75,31.47,0.27,26444.63,60.37,10派0.7,01-08
2,603895,天永智能,1.09,,,31.84,-1.0,6309.16,4.33,,01-08
3,603356,华菱精工,0.64,25.49,2.86,23.73,0.07,6391.45,24.87,,01-03
4,002925,盈趣科技,1.17,172.09,,72.25,1.5,44547.57,170.33,,12-26
5,300736,百华悦邦,1.16,17.17,4.81,26.28,1.92,4725.02,17.9,10派8,12-26
6,002923,润都股份,1.17,23.16,5.31,24.68,1.25,8746.58,22.9,,12-18
7,300664,鹏鹞环保,0.66,49.66,,14.04,1.34,26285.96,49.8,,12-18
8,002921,联诚精密,0.79,9.72,,11.76,1.35,4745.96,9.7,,12-13
9,002922,伊戈尔,0.72,-49.3,4.44,16.52,0.76,7162.94,-43.46,,12-12
10,603080,新疆火炬,1.12,10.89,4.19,30.8,0.81,11850.95,20.18,,12-12
11,603329,上海雅仕,0.66,-13.16,,18.4,0.4,6484.65,-14.32,,12-12
12,603655,朗博科技,0.38,-28.3,3.58,11.18,0.24,3018.19,-11.6,,12-11
13,300735,光弘科技,0.61,52.5,2.3,31.52,0.55,15419.47,62.01,,12-11
14,300733,西菱动力,0.77,48.08,4.3,19.76,0.78,9275.61,47.31,,12-06
15,300684,中石科技,0.57,9.42,5.09,11.66,0.69,3687.04,9.43,,12-06
16,002920,德赛西威,1.31,63.75,,55.63,1.24,59028.07,64.48,,12-05
17,603283,赛腾股份,0.4,-62.26,2.68,16.35,0.26,4804.87,-62.18,,12-05
18,002919,名臣健康,0.78,2.63,4.71,18.04,1.39,4740.9,8.96,,11-29
19,002918,蒙娜丽莎,1.97,89.42,,34.51,1.93,23299.79,101.31,,11-29
20,603477,振静股份,0.32,39.13,,14.55,-0.1,5829.37,46.76,,11-28
21,300732,设研院,2.4,126.42,11.77,22.52,1.57,12971.86,159.71,,11-28
22,603161,科华控股,1.0,14.94,5.66,19.51,0.51,10033.86,23.84,10派1.5,11-27
23,603890,春秋电子,1.54,60.42,4.17,45.84,1.19,14672.6,68.47,,11-21
24,002917,金奥博,0.99,,2.95,32.97,0.24,6177.36,-14.83,,11-21
