,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300738,奥飞数据,0.67,458.33,7.95,105.01,1.24,2680.29,570.63,10转30,01-08
1,300737,科顺股份,0.44,83.33,2.85,37.41,0.04,16490.26,109.91,10派1,01-08
2,603895,天永智能,,,,40.13,1.51,6047.43,27.66,,01-08
3,603356,华菱精工,0.51,-7.27,2.37,22.71,0.67,5118.53,-7.24,,01-03
4,002925,盈趣科技,0.43,38.71,,50.88,2.23,16478.77,39.68,,12-26
5,300736,百华悦邦,0.99,37.5,4.22,25.44,2.08,4007.67,39.28,10派6,12-26
6,002923,润都股份,0.95,20.25,4.14,25.35,0.67,7116.54,19.57,,12-18
7,002921,联诚精密,0.72,,,11.99,0.94,4326.35,-11.0,,12-13
8,002922,伊戈尔,1.42,389.66,4.32,38.77,0.86,12668.81,385.55,,12-12
9,603080,新疆火炬,1.01,5.21,3.07,42.01,1.16,9860.65,10.7,,12-12
10,603329,上海雅仕,0.76,,,23.5,1.1,7568.34,13.22,,12-12
11,300735,光弘科技,0.4,,1.55,23.39,0.45,9517.44,37.95,,12-11
12,603655,朗博科技,0.53,-5.36,3.2,17.47,0.39,3414.13,-2.76,,12-11
13,300684,中石科技,0.52,-41.8,4.62,11.37,0.23,3369.34,-38.99,,12-06
14,300733,西菱动力,0.52,15.56,3.53,15.11,0.76,6296.66,16.55,,12-06
15,002920,德赛西威,0.8,,,49.99,0.55,35887.45,116.81,,12-05
16,603283,赛腾股份,1.06,-10.92,2.1,60.09,0.55,12704.65,-4.38,,12-05
17,002919,名臣健康,0.76,,3.77,21.52,1.86,4350.85,36.88,,11-29
18,002918,蒙娜丽莎,1.04,52.94,,27.64,1.26,11574.35,50.41,,11-29
19,300732,设研院,1.06,27.71,9.67,10.32,0.44,4994.79,34.27,,11-28
20,603477,振静股份,0.23,27.78,,12.8,0.37,3972.05,57.69,,11-28
21,603161,科华控股,0.87,16.0,,21.58,0.17,8102.25,35.73,,11-27
22,002917,金奥博,,,,43.75,,7252.65,149.67,,11-21
23,603890,春秋电子,0.96,,1.86,49.41,1.04,8709.37,53.63,,11-21
24,300731,科创新源,0.59,-36.56,2.51,29.98,0.85,3535.83,-36.94,,11-20
25,002915,中欣氟材,0.56,30.23,2.89,19.77,0.34,3654.66,30.07,,11-14
26,603917,合力科技,0.88,24.35,3.99,24.4,0.68,7382.56,24.35,,11-14
27,300730,科创信息,0.49,145.0,2.13,25.87,1.12,3433.93,145.02,,11-14
28,002913,奥士康,1.62,,,30.66,2.3,16175.69,22.86,,11-13
29,603711,香飘飘,0.57,11.76,2.77,22.77,0.31,20394.76,10.08,,11-13
30,300729,乐歌股份,0.85,88.89,4.11,22.82,1.21,5085.83,87.05,,11-13
31,603848,好太太,,,,34.01,,13336.11,19.3,,11-13
32,002912,中新赛克,1.86,2.2,11.23,20.33,2.08,8824.05,12.64,,11-07
33,300727,润禾材料,0.49,,2.62,19.45,0.17,3349.79,7.58,,11-07
34,603685,晨丰科技,1.0,,3.31,31.74,0.69,5871.93,116.58,,11-06
35,002911,佛燃股份,0.74,21.31,3.08,26.24,1.41,36917.59,20.89,,10-31
36,603365,水星家纺,0.8,6.67,,20.36,1.2,13478.16,16.9,,10-31
37,603661,恒林股份,2.53,56.17,,43.22,3.12,18974.54,55.78,,10-31
38,300726,宏达电子,0.23,-90.17,1.57,18.5,0.01,7495.61,-47.05,,10-31
