date,open,close,high,low,volume,code
2014-01-28,5.53,5.486,5.604,5.289,14343.0,300267
2014-01-29,5.486,5.474,5.508,5.413,5039.0,300267
2014-01-30,5.478,5.513,5.527,5.432,3717.0,300267
2014-02-07,5.517,5.673,5.739,5.479,9790.0,300267
2014-02-10,5.668,5.724,5.739,5.608,10779.0,300267
2014-02-11,5.727,5.68,5.736,5.556,6782.0,300267
2014-02-12,5.688,5.739,5.774,5.551,7315.0,300267
2014-02-13,5.752,5.862,6.071,5.715,10325.0,300267
2014-02-14,5.817,6.11,6.11,5.762,14016.0,300267
2014-02-17,6.11,6.534,6.586,6.104,24094.0,300267
2014-02-18,6.56,6.595,6.652,6.365,16448.0,300267
2014-02-19,6.588,6.864,6.897,6.457,22216.0,300267
2014-02-20,6.847,6.792,7.095,6.504,23150.0,300267
2014-02-21,6.661,6.919,7.173,6.661,20949.0,300267
2014-02-24,7.025,7.431,7.434,6.912,34064.0,300267
2014-02-25,7.498,7.053,7.498,6.688,36799.0,300267
2014-02-26,6.828,7.155,7.173,6.457,16086.0,300267
2014-02-27,7.154,6.439,7.434,6.439,22700.0,300267
2014-02-28,6.247,6.35,6.488,5.896,26009.0,300267
2014-03-03,6.254,6.822,6.831,6.149,16102.0,300267
2014-03-04,6.826,6.912,7.056,6.678,15356.0,300267
2014-03-05,6.952,6.828,7.198,6.646,25721.0,300267
2014-03-06,6.815,7.51,7.51,6.79,62697.0,300267
2014-03-07,7.697,7.667,7.888,7.411,62380.0,300267
2014-03-10,7.448,7.319,7.667,7.138,31967.0,300267
2014-03-11,7.314,7.275,7.419,6.925,34543.0,300267
2014-03-12,7.17,6.872,7.17,6.798,30853.0,300267
2014-03-13,6.925,6.952,6.977,6.731,14160.0,300267
2014-03-14,6.977,7.143,7.344,6.977,27562.0,300267
2014-03-17,7.324,7.498,7.597,7.25,36487.0,300267
2014-03-18,7.642,8.119,8.248,7.597,77899.0,300267
