date,open,close,high,low,volume,code
2015-03-20,14.84,14.433,15.18,14.318,265016.0,000786
2015-03-23,14.672,15.462,15.792,14.409,199706.0,000786
2015-03-24,15.5,15.223,15.5,14.782,173757.0,000786
2015-03-25,15.261,15.237,15.347,14.849,143498.0,000786
2015-03-26,15.261,15.371,16.017,15.031,179259.0,000786
2015-03-27,15.319,15.208,15.371,15.017,79595.5,000786
2015-03-30,15.266,15.52,15.701,15.256,127492.0,000786
2015-03-31,15.821,15.199,15.955,15.137,166174.0,000786
2015-04-01,15.199,15.342,15.414,14.988,134034.0,000786
2015-04-02,15.438,15.476,15.52,15.223,144451.0,000786
2015-04-03,15.4,16.276,16.295,15.208,253862.0,000786
2015-04-07,16.515,17.339,17.353,16.132,223872.0,000786
2015-04-08,17.425,16.898,17.511,16.659,181237.0,000786
2015-04-09,16.831,17.994,18.267,16.252,229491.0,000786
2015-10-26,16.192,16.192,16.192,16.192,50361.0,000786
2015-10-27,14.575,14.575,14.575,14.575,52040.0,000786
2015-10-28,13.558,13.461,14.42,13.122,1467816.0,000786
2015-10-29,13.287,13.045,13.481,12.9,622409.0,000786
2015-10-30,13.064,13.258,13.413,12.813,524988.0,000786
2015-11-02,12.977,12.396,13.122,12.357,456587.0,000786
2015-11-03,12.445,12.018,12.532,11.873,330884.0,000786
2015-11-04,12.057,12.609,12.784,12.057,467652.0,000786
2015-11-05,12.619,12.745,13.229,12.454,617343.0,000786
2015-11-06,12.735,12.764,12.803,12.561,431144.0,000786
2015-11-09,12.609,13.268,13.539,12.396,686646.0,000786
2015-11-10,13.287,13.268,13.723,13.084,619422.0,000786
2015-11-11,13.345,13.152,13.365,12.958,383909.0,000786
2015-11-12,13.268,12.909,13.268,12.832,355171.0,000786
2015-11-13,12.784,12.58,12.784,12.406,345015.0,000786
2015-11-16,12.299,12.735,12.774,12.212,251986.0,000786
2015-11-17,12.793,12.59,12.871,12.57,311530.0,000786
2015-11-18,12.551,12.445,12.687,12.386,243487.0,000786
2015-11-19,12.561,12.522,12.561,12.425,196311.0,000786
2015-11-20,12.541,13.219,13.413,12.493,808458.0,000786
2015-11-23,13.52,12.977,13.529,12.88,645817.0,000786
2015-11-24,12.987,13.152,13.248,12.832,375581.0,000786
2015-11-25,13.122,13.055,13.2,12.958,373542.0,000786
2015-11-26,13.132,12.735,13.161,12.706,469518.0,000786
2015-11-27,12.735,11.893,12.909,11.602,457284.0,000786
2015-11-30,11.902,11.747,12.028,11.36,384789.0,000786
2015-12-01,11.757,11.834,11.98,11.534,326615.0,000786
2015-12-02,11.854,12.115,12.251,11.612,358945.0,000786
2015-12-03,12.077,12.154,12.261,11.98,279216.0,000786
2015-12-04,12.106,11.854,12.154,11.767,254675.0,000786
2015-12-07,11.854,11.728,11.902,11.65,257263.0,000786
2015-12-08,11.747,11.718,12.096,11.679,294711.0,000786
2015-12-09,11.679,11.515,11.805,11.457,228862.0,000786
2015-12-10,11.534,11.418,11.573,11.408,167029.0,000786
2015-12-11,11.428,11.127,11.428,11.069,231002.0,000786
2015-12-14,11.108,11.583,11.621,11.031,270464.0,000786
2015-12-15,11.525,11.457,11.621,11.379,200058.0,000786
2015-12-16,11.515,11.37,11.563,11.35,172632.0,000786
2015-12-17,11.428,11.621,11.699,11.389,310832.0,000786
2015-12-18,11.621,11.592,11.776,11.515,248772.0,000786
2015-12-21,11.525,11.631,11.679,11.447,253753.0,000786
2015-12-22,11.66,12.793,12.793,11.641,685444.0,000786
2015-12-23,12.88,12.299,12.9,12.212,807437.0,000786
2015-12-24,12.348,12.106,12.406,11.912,382639.0,000786
2015-12-25,12.144,12.047,12.241,11.951,259849.0,000786
2015-12-28,12.144,11.728,12.154,11.679,309460.0,000786
2015-12-29,11.796,11.902,11.912,11.67,175344.0,000786
2015-12-30,11.873,11.767,11.912,11.67,201631.0,000786
2015-12-31,11.786,11.525,11.834,11.525,170831.0,000786
2016-01-04,11.525,10.43,11.728,10.382,242607.0,000786
2016-01-05,10.004,10.091,10.556,9.665,442571.0,000786
2016-01-06,10.169,10.324,10.537,10.091,344243.0,000786
2016-01-07,10.159,9.336,10.159,9.287,72186.0,000786
2016-01-08,9.694,9.423,9.781,8.677,306814.0,000786
2016-01-11,9.2,8.484,9.249,8.484,355121.0,000786
2016-01-12,8.484,8.58,8.716,8.426,269670.0,000786
2016-01-13,8.687,8.174,8.706,8.038,204994.0,000786
2016-01-14,7.767,8.396,8.435,7.767,249399.0,000786
2016-01-15,8.3,7.651,8.358,7.651,206177.0,000786
2016-01-18,7.748,8.106,8.232,7.719,282717.0,000786
2016-01-19,8.135,8.919,8.919,7.999,426451.0,000786
2016-01-20,8.919,9.065,9.365,8.823,508026.0,000786
